Cycle	Time	Value
     1	    2162	1.0
     2	    2209	25.0
     3	    2259	0.0
     4	    2309	15.0
     5	    2362	1.0
     6	    2410	8.0
     7	    2459	16.0
     8	    2509	0.0
     9	    2559	10.0
    10	    2609	4.0
    11	    2660	7.0
    12	    2709	13.0
    13	    2759	18.0
    14	    2809	13.0
    15	    2861	14.0
    16	    2911	8.0
    17	    2959	3.0
    18	    3009	19.0
    19	    3059	6.0
    20	    3111	9.0
    21	    3159	9.0
    22	    3210	9.0
    23	    3260	11.0
    24	    3310	0.0
    25	    3362	7.0
    26	    3410	4.0
    27	    3463	5.0
    28	    3510	7.0
    29	    3560	7.0
    30	    3610	5.0
    31	    3660	16.0
    32	    3710	2.0
    33	    3761	2.0
    34	    3810	4.0
    35	    3860	1.0
    36	    3910	6.0
    37	    3960	10.0
    38	    4013	17.0
    39	    4110	2.0
    40	    4160	9.0
    41	    4210	2.0
    42	    4260	5.0
    43	    4312	15.0
    44	    4363	16.0
    45	    4410	9.0
    46	    4460	14.0
    47	    4510	6.0
    48	    4562	1.0
    49	    4612	3.0
    50	    4660	15.0
    51	    4710	7.0
    52	    4760	15.0
    53	    4813	5.0
    54	    4860	2.0
    55	    4910	2.0
    56	    4960	10.0
    57	    5010	12.0
    58	    5061	19.0
    59	    5112	21.0
    60	    5160	0.0
    61	    5211	13.0
    62	    5260	5.0
    63	    5312	15.0
    64	    5360	17.0
    65	    5410	5.0
    66	    5460	0.0
    67	    5510	16.0
    68	    5563	6.0
    69	    5611	17.0
    70	    5663	5.0
    71	    5710	11.0
    72	    5760	7.0
    73	    5812	6.0
    74	    5861	19.0
    75	    5910	16.0
    76	    5960	9.0
    77	    6010	4.0
    78	    6063	6.0
    79	    6110	1.0
    80	    6160	10.0
    81	    6212	8.0
    82	    6260	0.0
    83	    6313	24.0
    84	    6360	2.0
    85	    6410	1.0
    86	    6460	7.0
    87	    6512	6.0
    88	    6563	10.0
    89	    6610	2.0
    90	    6660	1.0
    91	    6712	0.0
    92	    6764	0.0
    93	    6810	1.0
    94	    6860	10.0
    95	    6910	14.0
    96	    6961	17.0
    97	    7012	1.0
    98	    7062	7.0
    99	    7112	13.0
   100	    7160	0.0
   101	    7210	2.0
   102	    7262	9.0
   103	    7313	8.0
   104	    7360	4.0
   105	    7410	4.0
   106	    7462	5.0
   107	    7513	0.0
   108	    7560	19.0
   109	    7610	3.0
   110	    7660	24.0
   111	    7710	2.0
   112	    7763	10.0
   113	    7812	18.0
   114	    7862	12.0
   115	    7912	2.0
   116	    7962	0.0
   117	    8010	11.0
   118	    8060	5.0
   119	    8110	20.0
   120	    8164	10.0
   121	    8212	7.0
   122	    8260	2.0
   123	    8310	3.0
   124	    8362	9.0
   125	    8412	0.0
   126	    8462	1.0
   127	    8510	7.0
   128	    8562	9.0
   129	    8612	3.0
   130	    8662	10.0
   131	    8712	5.0
   132	    8762	10.0
