Cycle	Time	Value
     1	      19	1528.0
     2	      69	1529.0
     3	     119	1746.0
     4	     169	1630.0
     5	     218	1710.0
     6	     269	1558.0
     7	     319	1711.0
     8	     368	1671.0
     9	     419	1609.0
    10	     468	1533.0
    11	     518	1806.0
    12	     568	1595.0
    13	     619	1726.0
    14	     668	1378.0
    15	     720	1663.0
    16	     768	1847.0
    17	     818	1666.0
    18	     869	1618.0
    19	     918	1770.0
    20	     969	1741.0
    21	    1018	1475.0
    22	    1069	1547.0
    23	    1118	1775.0
    24	    1168	1620.0
    25	    1219	1687.0
    26	    1268	1576.0
    27	    1318	1852.0
    28	    1368	1583.0
    29	    1418	1621.0
    30	    1468	1728.0
    31	    1518	1661.0
    32	    1568	1847.0
    33	    1619	1640.0
    34	    1668	1776.0
    35	    1719	1706.0
    36	    1768	1491.0
    37	    1818	1511.0
    38	    1868	1828.0
    39	    1918	1592.0
    40	    1969	1734.0
    41	    2018	1497.0
    42	    2068	1751.0
    43	    2118	1635.0
    44	    2168	1839.0
    45	    2218	1769.0
    46	    2268	1634.0
    47	    2318	1786.0
    48	    2368	1743.0
    49	    2418	1430.0
    50	    2468	1833.0
    51	    2518	1626.0
    52	    2568	1509.0
    53	    2618	1776.0
    54	    2669	1652.0
    55	    2720	1537.0
    56	    2768	1690.0
    57	    2818	1780.0
    58	    2868	1652.0
