Number	Time	Temperature
     1	      44	82.7
     2	      94	82.5
     3	     144	82.8
     4	     194	82.7
     5	     244	82.7
     6	     294	82.8
     7	     344	82.8
     8	     396	82.8
     9	     444	82.8
    10	     494	82.8
    11	     544	82.8
    12	     594	82.8
    13	     644	83.0
    14	     695	83.0
    15	     744	83.0
    16	     794	83.0
    17	     845	83.0
    18	     894	83.0
    19	     944	82.8
    20	     994	83.1
    21	    1044	83.1
    22	    1094	83.1
    23	    1144	82.7
    24	    1194	83.0
    25	    1244	83.0
    26	    1294	83.0
    27	    1344	83.1
    28	    1394	83.1
    29	    1444	83.2
    30	    1494	83.2
    31	    1544	83.1
    32	    1594	83.0
    33	    1644	83.0
    34	    1694	83.1
    35	    1744	83.1
    36	    1795	83.1
    37	    1844	83.0
    38	    1894	83.2
    39	    1944	83.1
    40	    1994	83.1
    41	    2044	83.1
    42	    2094	83.1
    43	    2144	83.1
    44	    2194	83.2
    45	    2245	83.2
    46	    2295	83.1
    47	    2344	83.1
    48	    2394	83.1
    49	    2444	83.0
    50	    2494	82.5
    51	    2545	83.1
    52	    2594	83.2
    53	    2644	83.2
    54	    2694	83.2
    55	    2744	83.2
    56	    2794	83.1
    57	    2844	83.5
    58	    2894	83.5
    59	    2944	83.5
    60	    2994	83.5
    61	    3044	83.2
    62	    3094	83.5
    63	    3144	83.7
    64	    3194	83.7
    65	    3244	83.5
    66	    3294	83.5
    67	    3344	83.8
    68	    3394	83.8
    69	    3444	83.7
    70	    3494	83.7
    71	    3544	83.8
    72	    3594	83.8
    73	    3644	83.8
    74	    3694	83.7
    75	    3744	83.8
    76	    3794	83.9
    77	    3844	83.8
    78	    3894	83.7
    79	    3944	83.8
    80	    3994	83.8
    81	    4044	83.8
    82	    4095	83.8
    83	    4144	83.9
    84	    4194	83.9
    85	    4244	83.8
    86	    4294	83.9
    87	    4344	84.1
    88	    4395	84.1
    89	    4444	84.1
    90	    4494	84.1
    91	    4544	84.1
    92	    4594	84.1
    93	    4644	84.1
    94	    4694	84.1
    95	    4744	84.1
    96	    4794	84.1
    97	    4844	84.1
    98	    4894	84.1
    99	    4944	84.1
   100	    4994	84.1
   101	    5044	83.9
   102	    5094	84.1
   103	    5144	84.2
   104	    5195	83.9
   105	    5245	84.2
   106	    5295	84.4
   107	    5345	84.4
   108	    5395	84.4
   109	    5445	84.4
   110	    5495	84.4
   111	    5545	84.4
   112	    5595	84.4
   113	    5645	84.5
   114	    5695	84.4
   115	    5745	84.4
   116	    5795	84.4
   117	    5845	84.2
   118	    5895	84.1
   119	    5946	84.5
   120	    5995	84.1
   121	    6045	84.4
   122	    6095	84.4
   123	    6145	84.4
   124	    6195	84.2
   125	    6245	84.4
   126	    6295	84.4
   127	    6345	84.4
   128	    6395	84.4
   129	    6445	84.2
   130	    6495	83.9
   131	    6543	84.2
   132	    6593	84.1
   133	    6643	84.2
   134	    6693	84.2
   135	    6743	84.2
   136	    6793	84.2
   137	    6843	84.4
   138	    6893	84.2
   139	    6943	84.2
   140	    6993	84.2
   141	    7043	83.8
   142	    7093	83.9
   143	    7143	83.9
   144	    7193	84.1
   145	    7243	84.1
   146	    7293	84.2
   147	    7343	84.2
   148	    7393	84.1
   149	    7445	84.1
   150	    7493	84.2
   151	    7543	84.2
   152	    7593	84.1
   153	    7643	84.2
   154	    7693	83.9
   155	    7743	84.1
   156	    7793	84.2
   157	    7843	84.1
   158	    7893	84.2
   159	    7943	84.1
   160	    7993	84.2
   161	    8043	84.2
   162	    8093	84.1
   163	    8143	84.2
   164	    8193	84.4
   165	    8243	84.4
   166	    8293	84.4
   167	    8343	84.2
   168	    8393	84.4
   169	    8445	84.5
   170	    8493	84.4
   171	    8543	84.4
   172	    8593	84.5
   173	    8643	84.4
   174	    8693	84.4
   175	    8743	84.5
   176	    8793	84.5
   177	    8843	84.5
   178	    8893	84.7
   179	    8943	84.5
   180	    8993	84.5
   181	    9043	84.5
   182	    9093	84.7
   183	    9143	84.7
   184	    9193	84.4
   185	    9243	84.5
   186	    9293	84.5
   187	    9343	84.5
   188	    9395	84.7
   189	    9443	84.5
   190	    9493	84.5
   191	    9543	84.7
   192	    9593	84.8
   193	    9645	84.7
   194	    9693	84.7
   195	    9743	84.5
   196	    9793	84.7
   197	    9843	84.7
   198	    9893	84.5
   199	    9943	84.5
   200	    9993	84.5
   201	   10043	84.5
   202	   10093	84.7
   203	   10143	84.5
   204	   10193	84.5
   205	   10242	84.2
   206	   10292	84.7
   207	   10342	84.7
   208	   10392	84.5
   209	   10444	84.5
   210	   10492	84.5
   211	   10542	84.1
   212	   10592	84.1
   213	   10642	84.4
   214	   10692	84.5
   215	   10742	84.7
   216	   10792	84.7
   217	   10842	84.9
   218	   10892	84.7
   219	   10942	84.9
   220	   10994	84.9
   221	   11042	84.9
   222	   11094	84.8
   223	   11142	84.8
   224	   11192	84.7
   225	   11242	84.9
   226	   11292	84.8
   227	   11344	84.9
   228	   11392	84.8
   229	   11442	84.4
   230	   11492	84.9
   231	   11544	85.1
   232	   11594	84.9
   233	   11642	84.9
   234	   11692	85.1
   235	   11744	84.9
   236	   11796	84.9
   237	   11843	84.9
   238	   11892	84.8
   239	   11944	84.9
   240	   11994	85.1
   241	   12044	85.1
   242	   12094	84.9
   243	   12144	85.1
   244	   12194	84.8
   245	   12242	84.9
   246	   12295	85.1
   247	   12342	85.1
   248	   12392	85.1
   249	   12442	85.1
   250	   12494	84.9
   251	   12545	84.5
   252	   12592	84.9
   253	   12644	84.9
   254	   12694	85.1
