Number	Time	Temperature
     1	       2	0.0
     2	      96	0.0
     3	     146	0.0
     4	     196	0.0
     5	     246	0.0
     6	     296	0.0
     7	     346	0.0
     8	     396	0.0
     9	     446	0.0
    10	     496	0.0
    11	     546	0.0
    12	     596	0.0
    13	     646	0.0
    14	     696	0.0
    15	     748	0.0
    16	     796	0.0
    17	     846	0.0
    18	     896	0.0
    19	     946	0.0
    20	     996	0.0
    21	    1046	0.0
    22	    1097	0.0
    23	    1146	0.0
    24	    1196	0.0
    25	    1248	0.0
    26	    1296	0.0
    27	    1346	0.0
    28	    1396	0.0
    29	    1446	0.0
    30	    1496	0.0
    31	    1546	0.0
    32	    1596	0.0
    33	    1646	0.0
    34	    1696	0.0
    35	    1746	0.0
    36	    1796	0.0
    37	    1846	0.0
    38	    1896	0.0
    39	    1946	0.0
    40	    1996	0.0
    41	    2046	0.0
    42	    2096	0.0
    43	    2146	0.0
    44	    2196	0.0
    45	    2246	0.0
    46	    2296	0.0
    47	    2346	0.0
    48	    2396	0.0
    49	    2446	0.0
    50	    2496	0.0
    51	    2546	0.0
    52	    2596	0.0
    53	    2646	0.0
    54	    2696	0.0
    55	    2746	0.0
    56	    2796	0.0
    57	    2846	0.0
    58	    2896	0.0
    59	    2946	0.0
    60	    2998	0.0
    61	    3046	0.0
    62	    3096	0.0
    63	    3146	0.0
    64	    3196	0.0
    65	    3246	0.0
    66	    3296	0.0
    67	    3346	0.0
    68	    3396	0.0
    69	    3446	0.0
    70	    3497	0.0
    71	    3546	0.0
    72	    3596	0.0
    73	    3646	0.0
    74	    3696	0.0
    75	    3747	0.0
    76	    3796	0.0
    77	    3846	0.0
    78	    3896	0.0
    79	    3946	0.0
    80	    3997	0.0
    81	    4046	0.0
    82	    4096	0.0
    83	    4147	0.0
    84	    4196	0.0
    85	    4246	0.0
    86	    4296	0.0
    87	    4346	0.0
    88	    4396	0.0
    89	    4446	0.0
    90	    4497	0.0
    91	    4546	0.0
    92	    4596	0.0
    93	    4646	0.0
    94	    4696	0.0
    95	    4746	0.0
    96	    4796	0.0
    97	    4846	0.0
    98	    4896	0.0
    99	    4946	0.0
   100	    4996	0.0
   101	    5046	0.0
   102	    5096	0.0
   103	    5146	0.0
   104	    5196	0.0
   105	    5247	0.0
   106	    5297	0.0
   107	    5346	0.0
   108	    5396	0.0
   109	    5447	0.0
   110	    5496	0.0
   111	    5546	0.0
   112	    5596	0.0
   113	    5646	0.0
   114	    5697	0.0
   115	    5746	0.0
   116	    5796	0.0
   117	    5846	0.0
   118	    5896	0.0
   119	    5946	0.0
   120	    5996	0.0
   121	    6046	0.0
   122	    6096	0.0
   123	    6146	0.0
   124	    6196	0.0
   125	    6246	0.0
   126	    6296	0.0
   127	    6346	0.0
   128	    6396	0.0
   129	    6446	0.0
   130	    6496	0.0
   131	    6546	0.0
   132	    6596	0.0
   133	    6646	0.0
   134	    6696	0.0
   135	    6746	0.0
   136	    6796	0.0
   137	    6846	0.0
   138	    6896	0.0
