Cycle	Time	Value
     1	      20	29.0
     2	      71	20.0
     3	     120	67.0
     4	     170	37.0
     5	     221	50.0
     6	     270	25.0
     7	     321	30.0
     8	     370	30.0
     9	     420	52.0
    10	     471	11.0
    11	     520	26.0
    12	     570	22.0
    13	     620	20.0
    14	     670	33.0
    15	     720	37.0
    16	     770	33.0
    17	     820	53.0
    18	     870	46.0
    19	     920	35.0
    20	     970	59.0
    21	    1020	52.0
    22	    1070	61.0
    23	    1120	53.0
    24	    1170	58.0
    25	    1221	47.0
    26	    1270	34.0
    27	    1320	37.0
    28	    1370	71.0
    29	    1420	7.0
    30	    1470	27.0
    31	    1520	33.0
    32	    1570	45.0
    33	    1620	49.0
    34	    1672	34.0
    35	    1720	37.0
    36	    1770	38.0
    37	    1820	37.0
    38	    1870	61.0
    39	    1920	66.0
    40	    1971	50.0
    41	    2020	15.0
    42	    2070	41.0
    43	    2120	46.0
    44	    2171	38.0
    45	    2220	52.0
    46	    2270	33.0
    47	    2324	29.0
    48	    2371	51.0
    49	    2421	27.0
    50	    2470	24.0
    51	    2520	49.0
    52	    2570	43.0
    53	    2620	42.0
    54	    2670	19.0
    55	    2720	54.0
    56	    2770	41.0
    57	    2820	35.0
    58	    2870	26.0
    59	    2920	47.0
    60	    2970	20.0
    61	    3020	30.0
    62	    3070	26.0
    63	    3121	17.0
    64	    3170	32.0
    65	    3220	32.0
    66	    3270	27.0
    67	    3320	48.0
    68	    3370	31.0
    69	    3420	44.0
    70	    3470	15.0
    71	    3520	57.0
    72	    3570	27.0
    73	    3620	49.0
    74	    3670	49.0
    75	    3720	42.0
    76	    3770	49.0
    77	    3820	31.0
    78	    3870	29.0
    79	    3920	44.0
    80	    3970	34.0
    81	    4020	34.0
    82	    4070	21.0
    83	    4120	34.0
    84	    4170	65.0
    85	    4220	16.0
    86	    4271	30.0
    87	    4320	42.0
    88	    4371	46.0
    89	    4420	52.0
    90	    4470	46.0
    91	    4520	9.0
    92	    4570	44.0
    93	    4620	32.0
    94	    4670	33.0
    95	    4720	15.0
    96	    4770	36.0
    97	    4820	61.0
    98	    4870	46.0
    99	    4920	35.0
   100	    4970	37.0
   101	    5020	36.0
   102	    5070	38.0
   103	    5120	43.0
   104	    5170	66.0
   105	    5220	23.0
   106	    5270	14.0
   107	    5320	33.0
   108	    5370	32.0
   109	    5420	47.0
   110	    5470	27.0
   111	    5520	64.0
   112	    5570	42.0
   113	    5620	43.0
   114	    5670	53.0
   115	    5720	44.0
   116	    5770	17.0
   117	    5820	33.0
   118	    5870	31.0
   119	    5920	51.0
   120	    5970	37.0
   121	    6020	31.0
   122	    6070	33.0
   123	    6120	17.0
   124	    6171	24.0
   125	    6220	23.0
   126	    6270	27.0
   127	    6320	29.0
   128	    6370	37.0
   129	    6420	35.0
   130	    6470	10.0
   131	    6520	40.0
   132	    6570	47.0
   133	    6620	24.0
   134	    6670	48.0
   135	    6720	26.0
   136	    6770	27.0
   137	    6820	25.0
   138	    6870	29.0
   139	    6920	28.0
