Cycle	Time	Value
     1	       6	32.0
     2	      56	25.0
     3	     105	50.0
     4	     155	36.0
     5	     205	50.0
     6	     255	58.0
     7	     305	49.0
     8	     355	35.0
     9	     405	45.0
    10	     455	51.0
    11	     506	38.0
    12	     555	23.0
    13	     605	41.0
    14	     657	34.0
    15	     705	26.0
    16	     756	52.0
    17	     805	56.0
    18	     855	38.0
    19	     905	30.0
    20	     955	47.0
    21	    1005	27.0
    22	    1055	27.0
    23	    1106	30.0
    24	    1155	37.0
    25	    1205	43.0
    26	    1255	45.0
    27	    1305	44.0
    28	    1355	63.0
    29	    1405	45.0
    30	    1456	59.0
    31	    1505	59.0
    32	    1555	61.0
    33	    1605	24.0
    34	    1655	28.0
    35	    1705	52.0
    36	    1755	39.0
    37	    1805	46.0
    38	    1855	71.0
    39	    1906	37.0
    40	    1955	15.0
    41	    2005	28.0
    42	    2055	59.0
    43	    2105	33.0
    44	    2155	49.0
    45	    2205	50.0
    46	    2255	38.0
    47	    2305	43.0
    48	    2355	61.0
    49	    2405	22.0
    50	    2455	68.0
    51	    2505	43.0
    52	    2555	34.0
    53	    2605	59.0
    54	    2655	28.0
    55	    2705	20.0
    56	    2755	33.0
    57	    2805	60.0
    58	    2855	31.0
    59	    2905	41.0
    60	    2955	45.0
    61	    3005	45.0
    62	    3056	52.0
    63	    3105	32.0
    64	    3155	53.0
    65	    3205	47.0
    66	    3255	57.0
    67	    3305	34.0
    68	    3355	19.0
    69	    3405	20.0
    70	    3455	11.0
    71	    3505	56.0
    72	    3555	50.0
    73	    3605	27.0
    74	    3655	25.0
    75	    3705	33.0
    76	    3755	45.0
    77	    3806	64.0
    78	    3855	24.0
    79	    3905	18.0
    80	    3955	34.0
    81	    4005	32.0
    82	    4057	16.0
    83	    4105	60.0
    84	    4155	45.0
    85	    4205	26.0
    86	    4255	22.0
    87	    4305	32.0
    88	    4355	48.0
    89	    4405	31.0
    90	    4455	23.0
    91	    4505	57.0
    92	    4560	39.0
    93	    4655	18.0
    94	    4705	29.0
    95	    4755	51.0
    96	    4805	18.0
    97	    4855	37.0
    98	    4905	54.0
    99	    4956	33.0
   100	    5006	36.0
   101	    5058	17.0
   102	    5105	63.0
   103	    5155	53.0
   104	    5205	28.0
   105	    5255	30.0
   106	    5305	40.0
   107	    5355	39.0
   108	    5405	47.0
   109	    5455	47.0
   110	    5505	24.0
   111	    5555	35.0
   112	    5605	17.0
   113	    5655	36.0
   114	    5705	52.0
   115	    5755	40.0
   116	    5805	32.0
   117	    5855	52.0
   118	    5905	38.0
   119	    5955	29.0
   120	    6005	22.0
   121	    6055	43.0
   122	    6105	28.0
   123	    6155	53.0
   124	    6205	27.0
   125	    6255	55.0
   126	    6305	44.0
   127	    6355	36.0
   128	    6405	47.0
   129	    6455	37.0
   130	    6505	51.0
   131	    6555	24.0
   132	    6605	32.0
   133	    6655	22.0
   134	    6705	29.0
   135	    6755	60.0
   136	    6805	34.0
   137	    6856	32.0
   138	    6905	35.0
