Cycle	Time	Value
     1	       2	56.0
     2	      96	60.0
     3	     146	34.0
     4	     196	55.0
     5	     246	49.0
     6	     296	20.0
     7	     346	47.0
     8	     396	27.0
     9	     446	40.0
    10	     496	33.0
    11	     546	22.0
    12	     596	34.0
    13	     646	38.0
    14	     696	27.0
    15	     748	10.0
    16	     796	60.0
    17	     846	26.0
    18	     896	46.0
    19	     946	53.0
    20	     996	62.0
    21	    1046	86.0
    22	    1097	49.0
    23	    1146	52.0
    24	    1196	19.0
    25	    1248	39.0
    26	    1296	71.0
    27	    1346	23.0
    28	    1396	28.0
    29	    1446	46.0
    30	    1496	34.0
    31	    1546	42.0
    32	    1596	24.0
    33	    1646	53.0
    34	    1696	64.0
    35	    1746	25.0
    36	    1796	29.0
    37	    1846	34.0
    38	    1896	45.0
    39	    1946	28.0
    40	    1996	45.0
    41	    2046	38.0
    42	    2096	47.0
    43	    2146	28.0
    44	    2196	37.0
    45	    2246	48.0
    46	    2296	39.0
    47	    2346	34.0
    48	    2396	35.0
    49	    2446	32.0
    50	    2496	36.0
    51	    2546	24.0
    52	    2596	41.0
    53	    2646	61.0
    54	    2696	41.0
    55	    2746	24.0
    56	    2796	38.0
    57	    2846	36.0
    58	    2896	32.0
    59	    2946	51.0
    60	    2998	5.0
    61	    3046	41.0
    62	    3096	34.0
    63	    3146	36.0
    64	    3196	32.0
    65	    3246	33.0
    66	    3296	47.0
    67	    3346	36.0
    68	    3396	29.0
    69	    3446	30.0
    70	    3497	16.0
    71	    3546	23.0
    72	    3596	29.0
    73	    3646	39.0
    74	    3696	38.0
    75	    3747	30.0
    76	    3796	36.0
    77	    3846	58.0
    78	    3896	26.0
    79	    3946	61.0
    80	    3997	22.0
    81	    4046	30.0
    82	    4096	30.0
    83	    4147	39.0
    84	    4196	24.0
    85	    4246	57.0
    86	    4296	71.0
    87	    4346	39.0
    88	    4396	27.0
    89	    4446	45.0
    90	    4497	61.0
    91	    4546	61.0
    92	    4596	72.0
    93	    4646	10.0
    94	    4696	20.0
    95	    4746	71.0
    96	    4796	42.0
    97	    4846	24.0
    98	    4896	60.0
    99	    4946	61.0
   100	    4996	53.0
   101	    5046	57.0
   102	    5096	39.0
   103	    5146	31.0
   104	    5196	39.0
   105	    5247	27.0
   106	    5297	19.0
   107	    5346	26.0
   108	    5396	38.0
   109	    5447	31.0
   110	    5496	53.0
   111	    5546	32.0
   112	    5596	31.0
   113	    5646	22.0
   114	    5697	25.0
   115	    5746	32.0
   116	    5796	46.0
   117	    5846	33.0
   118	    5896	26.0
   119	    5946	35.0
   120	    5996	60.0
   121	    6046	11.0
   122	    6096	64.0
   123	    6146	66.0
   124	    6196	56.0
   125	    6246	39.0
   126	    6296	27.0
   127	    6346	42.0
   128	    6396	41.0
   129	    6446	52.0
   130	    6496	42.0
   131	    6546	24.0
   132	    6596	38.0
   133	    6646	21.0
   134	    6696	58.0
   135	    6746	22.0
   136	    6796	38.0
   137	    6846	29.0
   138	    6896	25.0
