Number	Time	Temperature
     1	      39	57.3
     2	      89	57.2
     3	     139	57.3
     4	     189	57.3
     5	     239	57.0
     6	     289	57.3
     7	     339	57.2
     8	     389	57.4
     9	     439	57.8
    10	     488	58.5
    11	     539	58.6
    12	     589	59.2
    13	     639	59.6
    14	     688	60.1
    15	     739	60.8
    16	     788	61.5
    17	     838	62.1
    18	     889	62.8
    19	     938	63.3
    20	     988	64.3
    21	    1039	64.9
    22	    1088	65.7
    23	    1139	67.1
    24	    1188	67.9
    25	    1238	68.4
    26	    1288	69.2
    27	    1338	70.2
    28	    1389	70.8
    29	    1438	72.1
    30	    1488	72.9
    31	    1538	73.4
    32	    1588	74.3
    33	    1638	75.1
    34	    1689	75.5
    35	    1738	77.6
    36	    1788	78.3
    37	    1839	79.4
    38	    1889	80.0
    39	    1938	80.9
    40	    1988	82.0
    41	    2038	82.4
    42	    2089	83.4
    43	    2138	84.8
    44	    2188	85.5
    45	    2238	86.4
    46	    2288	87.1
    47	    2339	87.7
    48	    2388	89.3
    49	    2439	89.6
    50	    2488	90.7
    51	    2538	91.2
    52	    2588	92.3
    53	    2638	93.6
    54	    2688	94.2
    55	    2738	95.2
    56	    2790	95.8
    57	    2838	96.3
    58	    2888	97.1
    59	    2938	97.6
    60	    2989	98.4
    61	    3038	98.6
    62	    3088	99.1
    63	    3139	99.1
    64	    3188	99.7
    65	    3238	99.7
    66	    3289	99.7
    67	    3338	99.5
    68	    3388	99.7
    69	    3438	99.7
    70	    3488	99.7
    71	    3539	99.3
    72	    3588	99.1
    73	    3638	99.0
    74	    3688	99.0
    75	    3739	98.8
    76	    3789	98.6
    77	    3838	98.4
    78	    3888	98.1
    79	    3938	97.4
    80	    3988	98.1
    81	    4039	97.8
    82	    4088	97.4
    83	    4138	97.3
    84	    4188	96.9
    85	    4238	96.9
    86	    4288	96.6
    87	    4338	96.1
    88	    4388	95.9
    89	    4438	95.8
    90	    4488	95.6
    91	    4538	95.5
    92	    4588	95.0
    93	    4639	95.0
    94	    4688	94.9
    95	    4738	94.7
    96	    4788	94.4
    97	    4839	94.2
    98	    4888	94.4
    99	    4938	94.4
   100	    4988	94.4
   101	    5038	94.6
   102	    5088	94.4
   103	    5138	94.2
   104	    5188	94.6
   105	    5238	94.7
   106	    5288	94.9
   107	    5338	95.0
   108	    5389	95.2
   109	    5438	95.4
   110	    5489	94.9
   111	    5538	95.5
   112	    5588	95.6
   113	    5638	95.6
   114	    5688	95.8
   115	    5739	95.5
   116	    5788	95.6
   117	    5838	95.0
   118	    5888	95.8
   119	    5938	95.6
   120	    5988	95.5
   121	    6038	95.5
   122	    6088	95.4
   123	    6138	95.4
   124	    6188	95.0
   125	    6238	95.2
   126	    6288	95.2
   127	    6338	95.2
   128	    6388	95.0
   129	    6438	95.0
   130	    6489	95.0
   131	    6538	94.9
   132	    6588	94.7
   133	    6638	94.1
   134	    6689	93.9
   135	    6738	94.7
   136	    6788	94.6
   137	    6838	94.7
   138	    6888	94.9
   139	    6938	94.6
   140	    6990	94.9
   141	    7038	95.0
   142	    7088	94.9
   143	    7138	95.2
   144	    7189	95.2
   145	    7238	95.0
   146	    7288	95.4
   147	    7338	95.4
   148	    7388	95.5
   149	    7438	95.5
   150	    7488	95.6
   151	    7538	95.5
   152	    7588	95.2
   153	    7638	95.6
   154	    7690	95.5
   155	    7738	95.5
   156	    7788	95.5
   157	    7838	95.5
   158	    7888	95.5
   159	    7939	95.4
   160	    7988	95.2
   161	    8038	95.0
   162	    8088	94.6
   163	    8138	94.9
   164	    8188	94.9
   165	    8238	94.7
   166	    8288	94.4
   167	    8339	94.2
   168	    8388	93.8
   169	    8438	93.1
   170	    8488	93.3
   171	    8539	92.5
   172	    8588	91.8
   173	    8638	91.2
   174	    8690	91.0
   175	    8738	90.4
   176	    8788	89.9
   177	    8838	89.6
   178	    8888	89.0
   179	    8938	88.4
   180	    8988	87.8
   181	    9038	87.6
   182	    9088	87.3
   183	    9140	87.0
   184	    9188	86.1
   185	    9238	85.5
   186	    9288	84.5
   187	    9338	84.5
   188	    9390	84.2
   189	    9439	83.0
   190	    9488	83.4
   191	    9538	83.1
   192	    9588	82.7
   193	    9639	82.1
   194	    9688	81.8
   195	    9738	81.7
   196	    9788	80.9
   197	    9838	80.7
   198	    9889	80.1
   199	    9938	79.8
   200	    9988	79.4
