Cycle	Time	Value
     1	      32	0.0
     2	      82	1.0
     3	     132	0.0
     4	     182	0.0
     5	     232	0.0
     6	     282	0.0
     7	     334	0.0
     8	     382	0.0
     9	     432	0.0
    10	     482	0.0
    11	     532	0.0
    12	     583	0.0
    13	     632	0.0
    14	     682	0.0
    15	     732	0.0
    16	     782	0.0
    17	     833	0.0
    18	     882	0.0
    19	     932	0.0
    20	     982	0.0
    21	    1032	0.0
    22	    1082	0.0
    23	    1132	0.0
    24	    1182	0.0
    25	    1232	0.0
    26	    1282	0.0
    27	    1332	0.0
    28	    1382	0.0
    29	    1433	0.0
    30	    1482	0.0
    31	    1532	0.0
    32	    1583	0.0
    33	    1632	0.0
    34	    1682	0.0
    35	    1732	0.0
    36	    1782	0.0
    37	    1832	0.0
    38	    1882	0.0
    39	    1932	0.0
    40	    1982	0.0
    41	    2032	0.0
    42	    2082	0.0
    43	    2132	0.0
    44	    2183	0.0
    45	    2232	0.0
    46	    2283	0.0
    47	    2332	0.0
    48	    2382	0.0
    49	    2432	0.0
    50	    2482	0.0
    51	    2533	0.0
    52	    2582	0.0
    53	    2632	0.0
    54	    2683	0.0
    55	    2732	0.0
    56	    2782	0.0
    57	    2832	0.0
    58	    2882	0.0
    59	    2932	0.0
    60	    2982	0.0
    61	    3032	0.0
    62	    3082	0.0
    63	    3132	0.0
    64	    3182	0.0
    65	    3232	0.0
    66	    3282	0.0
    67	    3332	0.0
    68	    3382	0.0
    69	    3432	0.0
    70	    3482	0.0
    71	    3532	0.0
    72	    3582	0.0
    73	    3632	0.0
    74	    3682	0.0
    75	    3732	0.0
    76	    3782	0.0
    77	    3832	0.0
    78	    3882	0.0
    79	    3932	0.0
    80	    3982	0.0
    81	    4033	0.0
    82	    4082	0.0
    83	    4132	0.0
    84	    4182	0.0
    85	    4233	0.0
    86	    4282	0.0
    87	    4332	0.0
    88	    4382	0.0
    89	    4432	0.0
    90	    4483	0.0
    91	    4533	0.0
    92	    4582	0.0
    93	    4632	0.0
    94	    4682	0.0
    95	    4732	0.0
    96	    4782	0.0
