Cycle	Time	Value
     1	       8	1716.0
     2	      58	1813.0
     3	     108	1755.0
     4	     158	1830.0
     5	     208	1667.0
     6	     258	1654.0
     7	     308	1943.0
     8	     358	1756.0
     9	     408	1796.0
    10	     458	1598.0
    11	     508	1832.0
    12	     558	1744.0
    13	     608	1497.0
    14	     658	2023.0
    15	     709	1658.0
    16	     758	1881.0
    17	     808	1841.0
    18	     858	1663.0
    19	     908	1639.0
    20	     959	1695.0
    21	    1008	1773.0
    22	    1058	1956.0
    23	    1108	1684.0
    24	    1158	1754.0
    25	    1208	1864.0
    26	    1259	1911.0
    27	    1308	1617.0
    28	    1358	1875.0
    29	    1408	1880.0
    30	    1458	1774.0
    31	    1508	1613.0
    32	    1558	1803.0
    33	    1608	1905.0
    34	    1658	1851.0
    35	    1708	1698.0
    36	    1758	1912.0
    37	    1808	1700.0
    38	    1858	1817.0
    39	    1908	1975.0
    40	    1958	1879.0
    41	    2008	1769.0
    42	    2058	1820.0
    43	    2108	1586.0
    44	    2158	1692.0
    45	    2208	1965.0
    46	    2258	1968.0
    47	    2308	2010.0
    48	    2358	1697.0
    49	    2408	1788.0
    50	    2458	1750.0
    51	    2508	1966.0
    52	    2559	1736.0
    53	    2608	1966.0
    54	    2658	1699.0
    55	    2708	1741.0
    56	    2758	1581.0
    57	    2808	1887.0
    58	    2858	1912.0
    59	    2909	2001.0
    60	    2958	1704.0
    61	    3008	1791.0
    62	    3058	1783.0
    63	    3109	2087.0
    64	    3158	1691.0
    65	    3208	1904.0
    66	    3258	2050.0
    67	    3308	1820.0
    68	    3358	1676.0
    69	    3408	2004.0
    70	    3458	1620.0
    71	    3508	2031.0
    72	    3558	1827.0
    73	    3608	1750.0
    74	    3658	1938.0
    75	    3709	1955.0
    76	    3758	1759.0
    77	    3808	1898.0
    78	    3858	2002.0
