Number	Time	Temperature
     1	      14	32.2
     2	      64	32.4
     3	     114	32.5
     4	     164	32.5
     5	     214	32.5
     6	     264	32.5
     7	     314	32.5
     8	     364	33.7
     9	     414	34.3
    10	     465	35.0
    11	     514	35.5
    12	     564	36.6
    13	     616	37.8
    14	     664	38.7
    15	     714	39.6
    16	     764	40.9
    17	     814	41.9
    18	     864	43.1
    19	     914	44.3
    20	     964	46.7
    21	    1014	48.0
    22	    1064	49.3
    23	    1115	50.4
    24	    1164	51.6
    25	    1214	53.0
    26	    1264	54.2
    27	    1314	55.4
    28	    1364	56.6
    29	    1414	57.8
    30	    1464	59.0
    31	    1514	60.2
    32	    1564	62.6
    33	    1614	63.7
    34	    1664	64.8
    35	    1714	65.8
    36	    1764	67.1
    37	    1815	68.3
    38	    1864	69.3
    39	    1914	70.5
    40	    1964	71.7
    41	    2014	72.5
    42	    2064	73.6
    43	    2114	74.5
    44	    2164	75.6
    45	    2214	77.7
    46	    2264	78.7
    47	    2315	79.5
    48	    2364	80.6
    49	    2414	81.6
    50	    2464	82.4
    51	    2514	83.6
    52	    2566	84.2
    53	    2614	85.2
    54	    2664	86.1
    55	    2714	86.8
    56	    2764	87.7
    57	    2816	89.5
    58	    2864	90.4
    59	    2914	91.2
    60	    2965	91.8
    61	    3014	93.0
    62	    3066	93.7
    63	    3114	94.2
    64	    3164	94.8
    65	    3214	95.8
    66	    3264	96.6
    67	    3314	97.3
    68	    3364	97.8
    69	    3414	98.3
    70	    3464	98.9
    71	    3514	99.4
    72	    3564	99.6
    73	    3614	99.6
    74	    3664	99.6
    75	    3714	99.4
    76	    3764	99.6
    77	    3814	99.4
    78	    3864	99.3
    79	    3914	99.1
    80	    3964	98.9
    81	    4014	98.1
    82	    4064	98.1
    83	    4114	97.8
    84	    4164	97.6
    85	    4214	97.3
    86	    4264	97.1
    87	    4314	96.6
    88	    4364	96.3
    89	    4414	96.1
    90	    4464	95.3
    91	    4516	95.3
    92	    4564	94.7
    93	    4614	94.8
    94	    4664	94.5
    95	    4714	94.1
    96	    4767	94.0
    97	    4815	93.8
    98	    4864	93.7
    99	    4914	93.7
   100	    4964	93.8
   101	    5016	94.0
   102	    5064	94.0
   103	    5114	94.1
   104	    5164	94.4
   105	    5214	94.7
   106	    5264	95.0
   107	    5316	95.2
   108	    5364	95.8
   109	    5413	96.0
   110	    5465	96.1
   111	    5514	96.3
   112	    5564	96.0
   113	    5614	96.4
   114	    5664	96.4
   115	    5714	96.3
   116	    5764	96.3
   117	    5814	95.6
   118	    5863	96.1
   119	    5914	96.1
   120	    5964	96.0
   121	    6014	95.6
   122	    6064	95.6
   123	    6114	95.2
   124	    6164	95.2
   125	    6214	95.0
   126	    6263	94.7
   127	    6314	94.7
   128	    6364	94.5
   129	    6414	94.4
   130	    6464	94.2
   131	    6514	93.7
   132	    6563	94.2
   133	    6614	94.2
   134	    6664	94.0
   135	    6713	94.4
   136	    6764	94.2
   137	    6814	94.5
   138	    6864	94.7
   139	    6913	95.0
   140	    6964	95.2
   141	    7014	95.3
   142	    7064	95.5
   143	    7114	95.6
   144	    7163	95.8
   145	    7213	96.0
   146	    7263	96.0
   147	    7314	96.0
   148	    7363	96.0
   149	    7415	95.8
   150	    7464	95.8
   151	    7514	95.8
   152	    7564	95.6
   153	    7614	95.6
   154	    7664	95.5
   155	    7714	95.3
   156	    7764	95.2
   157	    7814	95.0
   158	    7864	94.8
   159	    7914	94.7
   160	    7963	94.5
   161	    8014	94.5
   162	    8063	94.4
   163	    8113	94.1
   164	    8164	94.4
   165	    8213	94.4
   166	    8263	94.2
   167	    8313	94.5
   168	    8363	94.5
   169	    8413	94.7
   170	    8463	94.8
   171	    8514	94.8
   172	    8563	95.2
   173	    8613	95.3
   174	    8664	95.5
   175	    8713	95.5
   176	    8763	95.6
   177	    8813	95.6
   178	    8863	95.8
   179	    8914	95.6
   180	    8964	95.5
   181	    9013	95.6
   182	    9063	94.5
   183	    9113	95.5
   184	    9163	95.5
   185	    9213	95.3
   186	    9264	95.0
   187	    9313	94.5
   188	    9363	94.0
   189	    9413	93.0
   190	    9463	93.0
   191	    9513	92.1
   192	    9563	91.8
   193	    9613	91.2
   194	    9663	89.5
   195	    9714	89.0
   196	    9763	88.3
   197	    9813	87.6
   198	    9863	87.1
   199	    9913	85.8
   200	    9963	85.8
   201	   10013	84.6
   202	   10063	84.2
   203	   10113	83.7
   204	   10163	83.1
   205	   10213	82.3
   206	   10263	81.7
   207	   10313	80.0
   208	   10364	79.8
   209	   10413	79.2
   210	   10463	78.5
   211	   10513	77.4
   212	   10563	76.9
   213	   10613	76.6
   214	   10663	75.9
   215	   10713	75.4
   216	   10763	74.8
   217	   10814	74.2
   218	   10863	73.7
   219	   10913	72.6
   220	   10963	71.7
   221	   11013	71.3
   222	   11063	70.9
   223	   11114	70.3
   224	   11163	70.1
   225	   11213	69.4
   226	   11263	68.9
   227	   11313	68.5
   228	   11363	67.9
   229	   11413	67.4
   230	   11463	67.0
   231	   11513	66.2
   232	   11564	65.7
   233	   11613	65.0
   234	   11663	64.6
   235	   11713	64.2
   236	   11763	64.1
   237	   11814	63.5
   238	   11864	63.0
   239	   11914	62.7
   240	   11964	62.3
   241	   12014	61.9
   242	   12064	61.5
   243	   12114	61.1
   244	   12164	59.9
   245	   12215	59.9
   246	   12264	59.7
   247	   12314	59.4
   248	   12364	59.0
   249	   12414	58.7
   250	   12464	58.2
   251	   12514	57.9
   252	   12564	57.5
   253	   12614	56.7
   254	   12665	57.0
   255	   12714	56.7
   256	   12764	56.3
   257	   12814	55.8
   258	   12864	55.5
   259	   12914	54.8
   260	   12965	55.1
   261	   13014	55.0
   262	   13064	54.8
   263	   13114	54.6
   264	   13164	54.4
   265	   13214	54.2
   266	   13264	54.1
   267	   13314	53.8
   268	   13364	53.7
   269	   13414	53.6
   270	   13464	53.2
   271	   13514	53.0
   272	   13564	53.0
   273	   13614	52.9
   274	   13664	52.7
   275	   13714	52.5
   276	   13765	52.3
   277	   13814	52.5
   278	   13864	52.2
   279	   13914	51.8
   280	   13964	52.2
   281	   14015	52.1
   282	   14065	51.8
   283	   14114	51.9
   284	   14164	51.8
   285	   14214	51.6
   286	   14266	51.6
   287	   14314	51.4
   288	   14364	50.9
   289	   14414	51.4
   290	   14464	51.4
   291	   14515	51.2
   292	   14564	51.2
   293	   14614	50.7
   294	   14664	50.8
   295	   14714	51.1
   296	   14764	50.9
   297	   14814	51.8
   298	   14864	52.3
   299	   14914	52.7
   300	   14964	53.2
   301	   15014	54.1
   302	   15064	54.8
   303	   15114	55.6
   304	   15164	56.5
   305	   15214	57.7
   306	   15264	58.6
   307	   15314	60.7
   308	   15364	61.7
   309	   15414	62.5
   310	   15465	63.5
   311	   15514	64.2
   312	   15564	64.9
   313	   15615	65.4
   314	   15664	66.1
   315	   15715	66.6
   316	   15764	66.9
   317	   15814	67.3
   318	   15864	67.4
   319	   15915	67.9
   320	   15965	67.7
   321	   16014	67.9
   322	   16064	67.9
   323	   16114	68.1
   324	   16164	67.9
   325	   16214	67.7
   326	   16264	67.8
   327	   16314	67.5
   328	   16364	67.7
   329	   16414	67.5
   330	   16464	67.4
   331	   16515	67.4
   332	   16564	67.1
