Cycle	Time	Value
     1	      27	11.0
     2	      77	26.0
     3	     127	32.0
     4	     177	28.0
     5	     228	6.0
     6	     277	38.0
     7	     327	24.0
     8	     377	30.0
     9	     427	24.0
    10	     477	16.0
    11	     528	27.0
    12	     577	20.0
    13	     627	6.0
    14	     677	29.0
    15	     727	35.0
    16	     777	14.0
    17	     827	35.0
    18	     877	10.0
    19	     927	20.0
    20	     978	16.0
    21	    1027	20.0
    22	    1077	20.0
    23	    1127	21.0
    24	    1177	18.0
    25	    1227	8.0
    26	    1277	26.0
    27	    1327	19.0
    28	    1377	20.0
    29	    1427	17.0
    30	    1477	20.0
    31	    1527	23.0
    32	    1577	27.0
    33	    1628	9.0
    34	    1677	19.0
    35	    1727	20.0
    36	    1777	16.0
    37	    1827	23.0
    38	    1877	32.0
    39	    1927	37.0
    40	    1977	22.0
    41	    2027	15.0
    42	    2078	17.0
    43	    2127	24.0
    44	    2177	16.0
    45	    2227	34.0
    46	    2277	13.0
    47	    2327	38.0
    48	    2378	15.0
    49	    2427	22.0
    50	    2477	26.0
    51	    2527	29.0
    52	    2578	11.0
    53	    2627	17.0
    54	    2677	18.0
    55	    2727	18.0
    56	    2777	9.0
    57	    2828	17.0
    58	    2878	27.0
    59	    2927	16.0
    60	    2977	29.0
    61	    3027	34.0
    62	    3077	14.0
    63	    3127	16.0
    64	    3177	9.0
    65	    3227	18.0
    66	    3277	14.0
    67	    3327	19.0
    68	    3377	25.0
    69	    3427	9.0
    70	    3478	14.0
    71	    3527	14.0
    72	    3577	41.0
    73	    3627	11.0
    74	    3677	26.0
    75	    3727	15.0
    76	    3777	27.0
    77	    3829	21.0
    78	    3877	15.0
    79	    3927	35.0
    80	    3977	13.0
    81	    4027	18.0
    82	    4077	1.0
    83	    4127	28.0
    84	    4177	16.0
    85	    4227	33.0
    86	    4277	23.0
    87	    4327	35.0
    88	    4377	38.0
    89	    4428	15.0
    90	    4477	16.0
    91	    4528	17.0
    92	    4577	18.0
    93	    4627	15.0
    94	    4678	8.0
    95	    4727	10.0
    96	    4777	35.0
    97	    4827	36.0
    98	    4877	18.0
    99	    4928	14.0
   100	    4978	13.0
   101	    5028	16.0
   102	    5079	27.0
   103	    5128	34.0
   104	    5178	31.0
   105	    5228	3.0
   106	    5279	12.0
   107	    5329	14.0
   108	    5378	12.0
   109	    5428	32.0
   110	    5478	27.0
   111	    5528	30.0
   112	    5578	37.0
   113	    5628	18.0
   114	    5678	21.0
   115	    5728	17.0
   116	    5778	16.0
   117	    5828	14.0
   118	    5878	21.0
   119	    5928	24.0
   120	    5978	13.0
   121	    6028	17.0
   122	    6078	13.0
   123	    6128	21.0
   124	    6178	14.0
   125	    6229	14.0
   126	    6278	36.0
   127	    6328	10.0
   128	    6378	15.0
   129	    6428	17.0
   130	    6478	22.0
   131	    6528	40.0
   132	    6578	29.0
   133	    6628	10.0
   134	    6678	32.0
   135	    6729	25.0
   136	    6778	20.0
   137	    6828	28.0
   138	    6878	15.0
   139	    6928	15.0
