Number	Time	Temperature
     1	       4	56.2
     2	      48	56.1
     3	      96	56.2
     4	     148	56.2
     5	     195	56.2
     6	     247	56.2
     7	     298	56.5
     8	     346	55.9
     9	     395	56.6
    10	     448	56.9
    11	     498	57.6
    12	     547	57.8
    13	     597	58.6
    14	     647	59.2
    15	     697	60.0
    16	     748	60.5
    17	     796	61.1
    18	     846	61.9
    19	     897	62.5
    20	     947	63.3
    21	     997	64.3
    22	    1048	64.9
    23	    1097	66.5
    24	    1147	67.5
    25	    1197	68.1
    26	    1247	69.1
    27	    1297	70.2
    28	    1347	71.1
    29	    1397	72.1
    30	    1447	72.8
    31	    1498	73.7
    32	    1547	74.7
    33	    1597	75.5
    34	    1647	76.2
    35	    1697	78.0
    36	    1747	78.8
    37	    1797	79.7
    38	    1847	80.6
    39	    1897	81.3
    40	    1947	82.4
    41	    1997	83.3
    42	    2047	84.1
    43	    2097	84.2
    44	    2148	85.8
    45	    2197	86.4
    46	    2247	87.0
    47	    2297	88.1
    48	    2347	89.6
    49	    2397	90.5
    50	    2447	91.3
    51	    2497	92.0
    52	    2547	92.8
    53	    2598	93.3
    54	    2647	94.1
    55	    2697	95.0
    56	    2747	95.6
    57	    2797	96.4
    58	    2847	97.1
    59	    2897	97.8
    60	    2947	98.8
    61	    2997	98.8
    62	    3047	99.1
    63	    3097	99.5
    64	    3147	99.0
    65	    3197	99.5
    66	    3248	99.5
    67	    3297	99.5
    68	    3348	99.7
    69	    3397	99.7
    70	    3447	99.5
    71	    3497	99.5
    72	    3548	99.1
    73	    3597	98.6
    74	    3647	98.4
    75	    3697	98.1
    76	    3747	97.9
    77	    3797	97.6
    78	    3847	97.8
    79	    3897	96.9
    80	    3947	96.8
    81	    3998	96.9
    82	    4047	96.4
    83	    4097	96.6
    84	    4148	95.5
    85	    4197	95.6
    86	    4245	95.9
    87	    4295	95.8
    88	    4345	95.5
    89	    4395	95.4
    90	    4445	95.0
    91	    4496	95.0
    92	    4545	95.0
    93	    4595	94.7
    94	    4645	94.7
    95	    4695	94.6
    96	    4745	94.4
    97	    4795	94.2
    98	    4845	94.2
    99	    4895	94.2
   100	    4945	94.4
   101	    4995	94.4
   102	    5045	94.6
   103	    5095	94.7
   104	    5146	94.7
   105	    5195	94.9
   106	    5245	95.0
   107	    5295	95.0
   108	    5345	95.2
   109	    5396	95.2
   110	    5445	95.6
   111	    5495	95.8
   112	    5545	95.8
   113	    5595	95.8
   114	    5646	95.4
   115	    5695	95.9
   116	    5745	95.6
   117	    5795	95.9
   118	    5845	95.8
   119	    5895	95.8
   120	    5946	95.8
   121	    5995	95.8
   122	    6045	95.6
   123	    6095	95.5
   124	    6146	95.4
   125	    6195	95.2
   126	    6246	95.0
   127	    6295	95.0
   128	    6346	94.9
   129	    6395	94.7
   130	    6446	94.2
   131	    6495	94.6
   132	    6545	94.4
   133	    6595	94.4
   134	    6645	94.4
   135	    6695	94.4
   136	    6745	94.4
   137	    6795	94.6
   138	    6845	94.7
   139	    6895	94.9
   140	    6945	94.9
   141	    6996	95.0
   142	    7045	94.9
   143	    7095	95.2
   144	    7145	95.4
   145	    7195	95.2
