Cycle	Time	Value
     1	      12	1850.0
     2	      62	1767.0
     3	     112	1681.0
     4	     162	1660.0
     5	     212	1691.0
     6	     262	1552.0
     7	     312	1807.0
     8	     362	1635.0
     9	     412	1704.0
    10	     463	1742.0
    11	     512	1719.0
    12	     564	1803.0
    13	     612	1746.0
    14	     662	1492.0
    15	     713	1663.0
    16	     762	1543.0
    17	     812	1702.0
    18	     863	1561.0
    19	     912	1970.0
    20	     962	1638.0
    21	    1012	1707.0
    22	    1062	1753.0
    23	    1112	1832.0
    24	    1162	1629.0
    25	    1212	1815.0
    26	    1262	1695.0
    27	    1312	1806.0
    28	    1362	1726.0
    29	    1412	1907.0
    30	    1462	1794.0
    31	    1512	1741.0
    32	    1562	1540.0
    33	    1612	1695.0
    34	    1662	1787.0
    35	    1712	1774.0
    36	    1763	1757.0
    37	    1813	1836.0
    38	    1863	1629.0
    39	    1913	1670.0
    40	    1963	1722.0
    41	    2013	1785.0
    42	    2063	1647.0
    43	    2113	1822.0
    44	    2163	1623.0
    45	    2214	1831.0
    46	    2263	1696.0
    47	    2314	1639.0
    48	    2363	1532.0
    49	    2413	1652.0
    50	    2463	1678.0
    51	    2513	1610.0
    52	    2563	1701.0
    53	    2613	1815.0
    54	    2663	1998.0
    55	    2714	1707.0
    56	    2763	1763.0
    57	    2813	1482.0
    58	    2863	1780.0
    59	    2913	1794.0
    60	    2963	1626.0
    61	    3013	1523.0
    62	    3063	1755.0
    63	    3113	1720.0
    64	    3163	1975.0
    65	    3213	1585.0
    66	    3263	1756.0
    67	    3313	1816.0
    68	    3363	1783.0
    69	    3413	1757.0
    70	    3463	1554.0
    71	    3513	1881.0
    72	    3563	1631.0
    73	    3613	1688.0
    74	    3663	1595.0
    75	    3713	1900.0
    76	    3763	1728.0
    77	    3813	1867.0
    78	    3863	1481.0
    79	    3913	1850.0
    80	    3963	1732.0
    81	    4013	1811.0
    82	    4063	1806.0
    83	    4114	1620.0
    84	    4163	1609.0
    85	    4213	1714.0
    86	    4263	1819.0
    87	    4313	1721.0
    88	    4364	1706.0
    89	    4413	1702.0
    90	    4463	1717.0
    91	    4513	1705.0
    92	    4564	1695.0
    93	    4613	1790.0
    94	    4663	1814.0
    95	    4713	1749.0
    96	    4763	1789.0
    97	    4813	1719.0
    98	    4863	1883.0
    99	    4913	1674.0
   100	    4963	1492.0
   101	    5013	1777.0
   102	    5063	1623.0
   103	    5113	1563.0
   104	    5163	1758.0
   105	    5213	1578.0
   106	    5263	1611.0
   107	    5313	1725.0
   108	    5365	1663.0
   109	    5413	1501.0
   110	    5463	1864.0
   111	    5513	1875.0
   112	    5564	1924.0
   113	    5613	1737.0
   114	    5663	1561.0
   115	    5713	1621.0
   116	    5763	1805.0
   117	    5814	1598.0
   118	    5863	1873.0
   119	    5913	1981.0
   120	    5963	1708.0
   121	    6013	1770.0
   122	    6063	1771.0
   123	    6113	1705.0
   124	    6163	1778.0
   125	    6213	1610.0
   126	    6263	1615.0
   127	    6313	1665.0
   128	    6363	1535.0
   129	    6413	1851.0
   130	    6463	1674.0
   131	    6513	1732.0
   132	    6565	1852.0
   133	    6613	1759.0
   134	    6663	1825.0
   135	    6713	1628.0
   136	    6763	1690.0
   137	    6813	1719.0
   138	    6863	1600.0
   139	    6913	1760.0
   140	    6963	1676.0
   141	    7013	1800.0
   142	    7065	1490.0
   143	    7113	1800.0
   144	    7163	1785.0
   145	    7213	1621.0
   146	    7263	1678.0
   147	    7313	1678.0
   148	    7365	1695.0
   149	    7413	1747.0
   150	    7463	1721.0
   151	    7513	1742.0
   152	    7563	1736.0
   153	    7613	1521.0
   154	    7663	1797.0
   155	    7713	1502.0
   156	    7763	1821.0
   157	    7813	1467.0
   158	    7863	1784.0
   159	    7913	1722.0
   160	    7963	1466.0
   161	    8015	1470.0
   162	    8063	1681.0
   163	    8112	1781.0
   164	    8163	1808.0
   165	    8212	1632.0
   166	    8264	1546.0
   167	    8312	1704.0
   168	    8363	1664.0
   169	    8412	1767.0
   170	    8463	1442.0
   171	    8514	1603.0
   172	    8563	1677.0
   173	    8613	1735.0
   174	    8663	1648.0
   175	    8713	1820.0
   176	    8763	1693.0
   177	    8813	1522.0
   178	    8863	1481.0
   179	    8913	1624.0
   180	    8963	1498.0
   181	    9013	1750.0
   182	    9063	1565.0
   183	    9113	1712.0
   184	    9163	1713.0
   185	    9213	1636.0
   186	    9263	1844.0
   187	    9313	1736.0
   188	    9363	1562.0
   189	    9413	1601.0
   190	    9463	1641.0
   191	    9514	1694.0
   192	    9563	1704.0
   193	    9613	1705.0
   194	    9663	1638.0
   195	    9714	1765.0
   196	    9762	1511.0
   197	    9813	1778.0
   198	    9862	1656.0
   199	    9913	1796.0
   200	    9965	1661.0
   201	   10012	1862.0
   202	   10062	1546.0
   203	   10113	1742.0
   204	   10162	1904.0
   205	   10215	1582.0
   206	   10262	1751.0
   207	   10312	1658.0
   208	   10362	1833.0
   209	   10416	1463.0
   210	   10464	1650.0
   211	   10512	1726.0
   212	   10563	1601.0
   213	   10612	1676.0
   214	   10662	1576.0
   215	   10712	1704.0
   216	   10762	1662.0
   217	   10812	1763.0
   218	   10863	1685.0
   219	   10912	1744.0
   220	   10964	1832.0
   221	   11014	1738.0
   222	   11064	1558.0
   223	   11112	1638.0
   224	   11162	1449.0
   225	   11215	1574.0
   226	   11262	1728.0
   227	   11314	1451.0
   228	   11364	1738.0
   229	   11414	1607.0
   230	   11464	1795.0
   231	   11514	1959.0
   232	   11564	1575.0
   233	   11614	1676.0
   234	   11664	1639.0
   235	   11712	1829.0
   236	   11762	1724.0
   237	   11814	1770.0
   238	   11864	1485.0
   239	   11915	1644.0
   240	   11964	1760.0
   241	   12014	1660.0
   242	   12064	1630.0
   243	   12114	1782.0
   244	   12164	1625.0
   245	   12215	1760.0
   246	   12265	1662.0
   247	   12314	1864.0
   248	   12364	1760.0
   249	   12414	1723.0
   250	   12464	1632.0
   251	   12512	1699.0
   252	   12564	1654.0
   253	   12614	1869.0
   254	   12665	1698.0
   255	   12714	1813.0
   256	   12764	1765.0
   257	   12814	1691.0
   258	   12865	1531.0
   259	   12914	1538.0
   260	   12964	1718.0
   261	   13015	1900.0
   262	   13064	1698.0
   263	   13112	1526.0
   264	   13162	1605.0
   265	   13212	1879.0
   266	   13262	1727.0
   267	   13312	1754.0
   268	   13362	1809.0
   269	   13413	1751.0
   270	   13462	1560.0
   271	   13512	1686.0
   272	   13562	1981.0
   273	   13612	1629.0
   274	   13662	1743.0
   275	   13712	1803.0
   276	   13762	1787.0
   277	   13813	1354.0
   278	   13862	1672.0
   279	   13912	1626.0
   280	   13962	1818.0
   281	   14012	1581.0
   282	   14062	1595.0
   283	   14112	1654.0
   284	   14163	1653.0
   285	   14212	1624.0
   286	   14262	1490.0
   287	   14312	1804.0
   288	   14363	1856.0
   289	   14412	1740.0
   290	   14462	1427.0
   291	   14512	1765.0
   292	   14563	1841.0
   293	   14612	1554.0
   294	   14662	1525.0
   295	   14712	1715.0
   296	   14762	1647.0
