Number	Time	Temperature
     1	      43	46.6
     2	      93	46.6
     3	     142	45.9
     4	     193	45.0
     5	     243	45.1
     6	     293	44.9
     7	     342	45.3
     8	     392	45.4
     9	     442	46.0
    10	     492	46.4
    11	     542	47.0
    12	     592	47.4
    13	     642	48.6
    14	     692	49.4
    15	     742	50.3
    16	     792	51.3
    17	     842	52.1
    18	     894	52.9
    19	     942	53.9
    20	     992	54.4
    21	    1042	55.4
    22	    1092	56.6
    23	    1142	57.6
    24	    1192	58.6
    25	    1242	59.2
    26	    1293	61.7
    27	    1343	62.7
    28	    1392	63.6
    29	    1442	64.7
    30	    1492	65.6
    31	    1542	66.7
    32	    1592	67.6
    33	    1642	68.3
    34	    1692	69.6
    35	    1742	70.3
    36	    1792	71.5
    37	    1842	72.2
    38	    1892	74.3
    39	    1942	75.3
    40	    1992	76.5
    41	    2042	77.2
    42	    2092	78.3
    43	    2142	79.3
    44	    2192	80.1
    45	    2242	81.1
    46	    2292	82.1
    47	    2343	82.8
    48	    2392	84.1
    49	    2442	84.9
    50	    2492	86.7
    51	    2542	87.4
    52	    2592	88.2
    53	    2642	88.9
    54	    2692	90.1
    55	    2742	91.0
    56	    2792	91.8
    57	    2842	92.5
    58	    2892	93.1
    59	    2943	94.1
    60	    2992	95.0
    61	    3042	95.8
    62	    3093	96.4
    63	    3143	97.9
    64	    3193	98.6
    65	    3243	99.0
    66	    3292	99.3
    67	    3343	99.5
    68	    3392	99.7
    69	    3442	99.7
    70	    3492	100.1
    71	    3542	99.9
    72	    3592	99.9
    73	    3642	100.1
    74	    3692	100.1
    75	    3742	99.7
    76	    3792	99.5
    77	    3843	99.5
    78	    3892	99.3
    79	    3942	99.1
    80	    3992	99.1
    81	    4042	98.8
    82	    4093	98.4
    83	    4142	98.4
    84	    4192	97.9
    85	    4242	97.8
    86	    4292	97.4
    87	    4342	97.3
    88	    4392	95.9
    89	    4442	96.4
    90	    4493	96.3
    91	    4542	95.9
    92	    4592	95.8
    93	    4642	95.5
    94	    4692	95.4
    95	    4742	95.2
    96	    4792	94.9
    97	    4842	94.9
    98	    4892	94.6
    99	    4942	94.4
   100	    4993	94.1
   101	    5043	94.1
   102	    5092	93.9
   103	    5142	94.4
   104	    5192	94.1
   105	    5242	93.8
   106	    5292	94.1
   107	    5342	94.2
   108	    5392	95.0
   109	    5442	95.0
   110	    5492	95.2
   111	    5543	95.2
   112	    5592	95.2
   113	    5642	95.2
   114	    5692	95.2
   115	    5742	95.5
   116	    5793	95.4
   117	    5842	95.8
   118	    5892	95.5
   119	    5943	95.5
   120	    5992	95.9
   121	    6042	95.5
   122	    6093	95.8
   123	    6142	95.2
   124	    6192	95.5
   125	    6242	95.5
   126	    6292	95.4
   127	    6342	95.2
   128	    6392	95.2
   129	    6442	95.2
   130	    6493	94.6
   131	    6542	94.6
   132	    6592	94.6
   133	    6642	94.4
   134	    6692	94.2
   135	    6743	94.6
   136	    6792	94.7
   137	    6843	94.7
   138	    6893	94.9
   139	    6942	94.9
   140	    6992	94.2
   141	    7042	94.9
   142	    7092	95.0
   143	    7142	95.0
   144	    7192	95.0
   145	    7242	95.2
   146	    7292	94.9
   147	    7342	95.2
   148	    7392	95.4
   149	    7442	95.0
   150	    7492	95.4
   151	    7542	95.2
   152	    7592	95.5
   153	    7642	95.5
   154	    7692	95.5
   155	    7742	95.5
   156	    7792	95.4
   157	    7842	95.2
   158	    7892	95.2
   159	    7943	95.2
   160	    7992	95.2
   161	    8042	94.9
   162	    8092	95.0
   163	    8142	94.4
   164	    8192	94.4
   165	    8242	94.4
   166	    8292	94.6
   167	    8342	94.6
   168	    8392	95.0
   169	    8443	94.9
   170	    8490	94.6
   171	    8540	95.2
   172	    8590	95.2
   173	    8640	95.2
   174	    8690	95.0
   175	    8740	95.4
   176	    8790	95.0
   177	    8840	95.6
   178	    8890	95.5
   179	    8940	95.6
   180	    8990	95.4
   181	    9040	95.4
   182	    9091	95.6
   183	    9140	95.6
   184	    9190	95.4
   185	    9240	95.5
   186	    9290	95.0
   187	    9340	95.0
   188	    9390	93.8
   189	    9440	93.6
   190	    9492	93.3
   191	    9540	92.3
   192	    9590	92.2
   193	    9640	91.6
   194	    9690	90.9
   195	    9740	90.7
   196	    9790	90.2
   197	    9840	89.6
   198	    9892	88.6
   199	    9940	87.7
   200	    9990	87.3
   201	   10040	87.0
   202	   10090	86.7
   203	   10140	86.4
   204	   10192	85.8
   205	   10240	85.7
   206	   10291	85.4
   207	   10340	85.1
   208	   10390	84.9
   209	   10442	84.5
   210	   10490	83.9
   211	   10540	83.9
   212	   10592	84.1
   213	   10640	83.7
   214	   10692	82.7
   215	   10740	82.4
   216	   10792	81.7
   217	   10840	82.0
   218	   10890	81.7
   219	   10941	81.3
   220	   10992	81.1
   221	   11040	81.1
   222	   11090	80.9
   223	   11140	80.7
   224	   11192	80.3
   225	   11240	80.0
   226	   11290	79.7
   227	   11340	79.1
