Number	Time	Temperature
     1	      45	34.6
     2	      92	34.6
     3	     142	34.6
     4	     195	33.6
     5	     244	34.1
     6	     295	34.1
     7	     342	34.3
     8	     392	34.3
     9	     442	34.4
    10	     494	34.3
    11	     544	34.4
    12	     592	34.4
    13	     645	34.4
    14	     693	34.4
    15	     744	34.3
    16	     792	34.4
    17	     844	34.4
    18	     894	34.4
    19	     942	34.6
    20	     994	34.6
    21	    1042	34.4
    22	    1096	34.4
    23	    1144	34.1
    24	    1192	34.6
    25	    1242	33.9
    26	    1292	34.6
    27	    1346	34.6
    28	    1394	34.6
    29	    1442	34.7
    30	    1492	34.6
    31	    1542	34.7
    32	    1595	34.7
    33	    1644	34.7
    34	    1694	34.7
    35	    1743	34.6
    36	    1793	34.7
    37	    1842	34.7
    38	    1892	34.7
    39	    1942	34.6
    40	    1992	34.7
    41	    2042	34.7
    42	    2092	34.7
    43	    2144	34.7
    44	    2194	34.7
    45	    2242	34.8
    46	    2294	34.6
    47	    2345	34.8
    48	    2392	34.8
    49	    2445	34.8
    50	    2495	34.8
    51	    2544	34.8
    52	    2594	34.8
    53	    2644	34.8
    54	    2694	34.8
    55	    2744	34.8
    56	    2794	35.0
    57	    2844	34.8
    58	    2894	34.8
    59	    2944	35.0
    60	    2994	34.7
    61	    3044	34.8
    62	    3094	35.0
    63	    3144	35.0
    64	    3195	34.7
    65	    3244	35.0
    66	    3295	35.0
    67	    3344	34.8
    68	    3394	35.0
    69	    3444	35.0
    70	    3494	35.0
    71	    3544	35.0
    72	    3595	34.8
    73	    3644	34.3
    74	    3694	35.0
    75	    3744	35.0
    76	    3795	35.0
    77	    3844	35.0
    78	    3894	35.0
    79	    3944	35.2
    80	    3994	35.0
    81	    4045	35.0
    82	    4094	35.2
    83	    4144	35.2
    84	    4194	35.2
    85	    4245	35.2
    86	    4292	34.4
    87	    4343	34.8
    88	    4392	35.2
    89	    4442	35.2
    90	    4492	35.2
    91	    4542	35.0
    92	    4592	35.2
    93	    4642	35.2
    94	    4692	35.2
    95	    4742	35.2
    96	    4792	34.7
    97	    4842	35.2
    98	    4892	35.2
    99	    4942	35.2
   100	    4992	35.2
   101	    5045	35.2
   102	    5092	35.2
   103	    5142	35.2
   104	    5192	35.2
   105	    5242	35.2
   106	    5292	34.8
   107	    5342	35.2
   108	    5393	35.2
   109	    5442	35.2
   110	    5493	35.2
   111	    5542	35.3
   112	    5592	34.8
   113	    5642	35.3
   114	    5692	35.3
   115	    5742	35.2
   116	    5792	35.3
   117	    5842	35.2
   118	    5893	35.3
   119	    5942	35.3
   120	    5992	35.2
   121	    6042	35.3
   122	    6092	35.3
   123	    6142	35.2
   124	    6193	35.3
   125	    6242	35.2
   126	    6292	35.3
   127	    6342	35.0
   128	    6392	35.3
   129	    6442	35.3
   130	    6492	35.3
   131	    6542	35.3
   132	    6592	35.3
   133	    6642	35.5
   134	    6692	35.3
   135	    6743	35.3
   136	    6792	35.3
   137	    6842	35.2
   138	    6892	35.3
   139	    6942	35.0
   140	    6993	35.2
   141	    7042	35.3
   142	    7092	35.0
   143	    7142	35.3
   144	    7192	35.3
   145	    7243	35.2
   146	    7292	35.3
   147	    7343	35.3
   148	    7392	35.2
   149	    7442	35.5
   150	    7492	35.5
   151	    7542	35.3
   152	    7592	35.3
   153	    7642	35.3
   154	    7692	35.3
   155	    7742	35.3
   156	    7792	35.3
   157	    7842	35.2
   158	    7892	35.5
   159	    7943	35.3
   160	    7992	35.3
   161	    8043	35.2
   162	    8092	35.3
   163	    8142	35.3
   164	    8192	35.5
   165	    8243	35.5
   166	    8292	34.8
   167	    8342	35.5
   168	    8392	35.3
   169	    8443	35.3
   170	    8492	35.3
   171	    8542	35.3
   172	    8592	35.3
   173	    8642	35.5
   174	    8693	35.3
   175	    8742	35.2
   176	    8792	35.2
   177	    8842	35.3
   178	    8892	35.3
   179	    8942	35.3
   180	    8992	35.3
   181	    9042	35.5
   182	    9092	35.5
   183	    9142	35.5
   184	    9193	35.5
   185	    9242	35.3
   186	    9292	35.5
   187	    9342	35.3
   188	    9392	35.3
   189	    9442	35.5
   190	    9492	35.5
   191	    9542	35.5
   192	    9592	35.5
   193	    9642	35.5
   194	    9692	35.3
   195	    9745	35.3
   196	    9792	35.3
   197	    9842	35.5
   198	    9893	35.5
   199	    9942	35.5
   200	    9992	35.3
   201	   10042	35.7
   202	   10092	35.5
   203	   10142	35.0
   204	   10193	35.5
   205	   10243	35.0
   206	   10294	35.5
   207	   10347	35.5
   208	   10394	35.5
   209	   10443	35.5
   210	   10493	35.5
   211	   10543	35.5
   212	   10593	35.5
   213	   10643	35.5
   214	   10693	35.5
   215	   10743	35.5
   216	   10793	35.5
   217	   10843	35.5
   218	   10893	35.5
   219	   10943	35.3
   220	   10993	35.5
   221	   11043	35.5
   222	   11093	35.3
   223	   11143	35.5
   224	   11193	35.5
   225	   11243	35.3
   226	   11293	35.5
   227	   11343	35.5
   228	   11393	35.5
   229	   11443	35.5
   230	   11493	35.5
   231	   11543	35.5
   232	   11593	35.5
   233	   11643	35.3
   234	   11693	35.5
   235	   11744	35.5
   236	   11793	35.5
   237	   11843	35.3
   238	   11893	35.5
   239	   11945	35.2
   240	   11993	35.5
   241	   12043	35.5
   242	   12094	35.5
   243	   12144	35.5
   244	   12193	35.5
   245	   12243	35.5
   246	   12293	35.3
