Cycle	Time	Value
     1	      44	1872.0
     2	      94	1648.0
     3	     144	1750.0
     4	     194	1740.0
     5	     244	1804.0
     6	     294	1678.0
     7	     344	1773.0
     8	     394	1538.0
     9	     444	1612.0
    10	     494	1849.0
    11	     545	1842.0
    12	     595	1953.0
    13	     645	1717.0
    14	     694	1780.0
    15	     744	1674.0
    16	     794	1881.0
    17	     845	1754.0
    18	     894	1829.0
    19	     944	1860.0
    20	     994	1747.0
    21	    1044	1751.0
    22	    1095	1975.0
    23	    1144	1832.0
    24	    1194	1832.0
    25	    1244	1876.0
    26	    1294	1821.0
    27	    1345	1722.0
    28	    1394	1590.0
    29	    1444	1877.0
    30	    1494	1574.0
    31	    1544	1739.0
    32	    1596	1606.0
    33	    1644	1828.0
    34	    1694	1759.0
    35	    1744	1551.0
    36	    1794	1839.0
    37	    1844	1834.0
    38	    1894	1896.0
    39	    1944	1691.0
    40	    1994	1882.0
    41	    2044	2016.0
    42	    2095	1640.0
    43	    2144	1880.0
    44	    2194	1922.0
    45	    2244	1713.0
    46	    2294	1571.0
    47	    2344	2080.0
    48	    2394	2055.0
    49	    2444	1737.0
    50	    2495	1819.0
    51	    2544	1953.0
    52	    2594	1585.0
    53	    2644	1949.0
    54	    2694	1909.0
    55	    2744	1753.0
    56	    2794	1794.0
    57	    2844	1872.0
    58	    2894	1734.0
    59	    2944	1874.0
    60	    2994	1826.0
    61	    3045	1712.0
    62	    3093	1839.0
    63	    3144	1870.0
    64	    3194	1809.0
    65	    3244	1886.0
    66	    3294	1720.0
    67	    3344	1825.0
    68	    3394	1727.0
    69	    3444	1948.0
    70	    3495	1752.0
    71	    3544	1886.0
    72	    3594	1799.0
    73	    3645	1496.0
    74	    3695	1774.0
    75	    3745	1959.0
    76	    3795	1776.0
    77	    3845	1829.0
    78	    3895	1913.0
    79	    3945	1866.0
    80	    3994	1870.0
    81	    4044	1982.0
    82	    4095	1784.0
    83	    4144	1711.0
    84	    4195	1691.0
    85	    4245	1832.0
    86	    4295	2024.0
    87	    4345	1783.0
    88	    4395	1790.0
    89	    4445	1809.0
    90	    4494	1797.0
    91	    4544	1619.0
    92	    4595	1841.0
    93	    4645	1884.0
    94	    4694	1877.0
    95	    4744	1768.0
    96	    4795	1696.0
    97	    4845	1667.0
    98	    4895	1734.0
    99	    4945	1965.0
   100	    4995	1656.0
   101	    5045	1753.0
   102	    5095	1690.0
   103	    5145	1869.0
   104	    5194	1671.0
   105	    5245	1699.0
   106	    5295	1820.0
   107	    5346	1695.0
   108	    5394	1946.0
   109	    5445	1588.0
   110	    5495	1528.0
   111	    5545	1651.0
   112	    5595	1680.0
   113	    5645	1836.0
   114	    5695	1575.0
   115	    5745	2056.0
   116	    5795	1716.0
   117	    5844	1782.0
   118	    5895	1755.0
   119	    5945	1907.0
   120	    5995	1751.0
   121	    6045	1874.0
   122	    6095	1833.0
   123	    6144	1683.0
   124	    6195	1708.0
   125	    6244	1698.0
   126	    6294	1549.0
   127	    6344	1551.0
   128	    6394	1934.0
   129	    6445	1631.0
   130	    6495	1568.0
   131	    6545	1527.0
   132	    6595	1393.0
   133	    6644	1499.0
   134	    6694	1865.0
   135	    6744	1990.0
   136	    6795	1726.0
   137	    6844	1741.0
   138	    6894	1793.0
   139	    6946	1600.0
   140	    6994	1904.0
   141	    7044	1760.0
   142	    7095	1835.0
   143	    7144	1798.0
   144	    7196	1713.0
   145	    7244	1682.0
   146	    7295	1782.0
   147	    7345	1825.0
   148	    7394	1319.0
   149	    7445	1622.0
   150	    7494	1781.0
   151	    7544	2027.0
   152	    7594	1659.0
   153	    7644	1644.0
   154	    7694	1752.0
   155	    7744	1728.0
   156	    7794	1864.0
   157	    7844	1889.0
   158	    7895	1690.0
   159	    7945	1960.0
   160	    7994	1746.0
   161	    8045	1804.0
   162	    8094	1812.0
   163	    8144	1715.0
   164	    8195	1766.0
   165	    8244	1888.0
   166	    8295	1801.0
   167	    8344	1510.0
   168	    8395	1768.0
   169	    8444	1839.0
   170	    8494	1490.0
   171	    8544	1792.0
   172	    8594	1692.0
   173	    8644	1821.0
   174	    8694	1887.0
   175	    8744	1964.0
   176	    8795	1868.0
   177	    8844	1793.0
   178	    8896	1556.0
   179	    8944	1802.0
   180	    8994	1857.0
   181	    9045	1861.0
   182	    9094	1597.0
   183	    9144	1755.0
   184	    9194	1865.0
   185	    9244	1969.0
   186	    9294	1521.0
   187	    9344	1794.0
   188	    9394	1604.0
   189	    9444	1775.0
   190	    9494	1764.0
