Number	Time	Temperature
     1	      10	32.7
     2	      60	32.9
     3	     110	32.7
     4	     158	32.9
     5	     210	32.0
     6	     258	32.9
     7	     310	33.2
     8	     360	33.1
     9	     410	33.9
    10	     460	34.6
    11	     510	36.1
    12	     560	37.0
    13	     610	37.9
    14	     660	39.2
    15	     710	40.0
    16	     759	41.2
    17	     810	42.4
    18	     860	43.6
    19	     908	44.7
    20	     960	45.8
    21	    1010	47.1
    22	    1060	48.4
    23	    1110	50.8
    24	    1160	52.2
    25	    1210	53.3
    26	    1260	54.5
    27	    1310	55.8
    28	    1360	57.0
    29	    1410	58.2
    30	    1461	59.4
    31	    1511	60.6
    32	    1560	61.8
    33	    1610	62.9
    34	    1660	64.2
    35	    1711	66.5
    36	    1760	67.4
    37	    1810	68.7
    38	    1860	69.7
    39	    1910	70.7
    40	    1960	71.9
    41	    2010	72.9
    42	    2060	74.0
    43	    2110	74.8
    44	    2160	76.0
    45	    2210	77.0
    46	    2260	78.1
    47	    2310	79.1
    48	    2360	81.0
    49	    2410	82.2
    50	    2460	83.0
    51	    2510	84.0
    52	    2560	84.6
    53	    2611	85.6
    54	    2660	86.7
    55	    2710	87.4
    56	    2760	88.3
    57	    2810	89.3
    58	    2860	90.1
    59	    2910	91.0
    60	    2960	92.6
    61	    3010	93.3
    62	    3060	94.2
    63	    3110	95.0
    64	    3160	95.8
    65	    3210	96.1
    66	    3260	97.3
    67	    3311	97.8
    68	    3360	98.4
    69	    3410	98.8
    70	    3460	99.1
    71	    3510	98.8
    72	    3560	99.6
    73	    3610	99.8
    74	    3660	99.8
    75	    3711	99.8
    76	    3761	99.6
    77	    3811	99.4
    78	    3861	99.4
    79	    3911	99.1
    80	    3961	98.9
    81	    4011	98.6
    82	    4061	98.4
    83	    4111	98.3
    84	    4161	97.9
    85	    4211	97.3
    86	    4261	96.8
    87	    4311	96.6
    88	    4361	96.3
    89	    4411	96.0
    90	    4462	95.8
    91	    4511	95.5
    92	    4561	95.2
    93	    4611	94.8
    94	    4661	94.5
    95	    4711	94.4
    96	    4761	94.1
    97	    4811	94.0
    98	    4861	93.8
    99	    4911	93.7
   100	    4961	93.8
   101	    5011	93.8
   102	    5061	93.8
   103	    5111	94.1
   104	    5162	94.1
   105	    5211	94.5
   106	    5261	94.8
   107	    5311	95.0
   108	    5361	95.3
   109	    5412	95.6
   110	    5461	96.0
   111	    5511	96.1
   112	    5561	96.4
   113	    5611	96.4
   114	    5661	96.6
   115	    5711	96.3
   116	    5761	96.4
   117	    5811	96.4
   118	    5862	96.4
   119	    5911	96.1
   120	    5961	96.1
   121	    6011	96.0
   122	    6061	95.5
   123	    6111	95.3
   124	    6161	95.3
   125	    6211	95.0
   126	    6261	94.8
   127	    6312	94.5
   128	    6361	94.4
   129	    6411	94.2
   130	    6461	94.2
   131	    6511	94.1
   132	    6561	94.0
   133	    6611	94.0
   134	    6661	94.1
   135	    6711	94.2
   136	    6761	94.4
   137	    6811	94.5
   138	    6861	94.7
   139	    6911	94.8
   140	    6961	95.2
   141	    7012	95.2
   142	    7061	95.5
   143	    7111	95.8
   144	    7161	95.8
   145	    7211	96.0
   146	    7261	96.1
   147	    7311	96.3
   148	    7361	96.3
   149	    7411	96.1
   150	    7461	96.1
   151	    7511	96.0
   152	    7561	96.0
   153	    7611	95.8
   154	    7661	95.6
   155	    7711	95.3
   156	    7761	95.3
   157	    7811	95.2
   158	    7861	95.0
   159	    7911	94.8
   160	    7961	94.5
   161	    8011	94.4
   162	    8061	94.4
   163	    8109	94.2
   164	    8160	94.2
   165	    8209	94.2
   166	    8259	94.2
   167	    8309	94.1
   168	    8359	94.4
   169	    8409	94.1
   170	    8459	94.5
   171	    8509	94.7
   172	    8559	95.0
   173	    8609	95.2
   174	    8659	95.3
   175	    8709	95.5
   176	    8759	95.6
   177	    8809	95.6
   178	    8859	95.6
   179	    8909	95.6
   180	    8959	95.8
   181	    9009	95.8
   182	    9059	95.6
   183	    9109	95.5
   184	    9159	95.5
   185	    9209	95.2
   186	    9259	94.7
   187	    9311	94.1
   188	    9359	93.7
   189	    9409	92.9
   190	    9459	91.9
   191	    9509	91.5
   192	    9559	90.7
   193	    9609	89.8
   194	    9659	89.5
   195	    9709	88.0
   196	    9759	88.1
   197	    9809	87.4
   198	    9859	85.9
   199	    9909	85.4
   200	    9959	84.2
   201	   10009	84.1
   202	   10059	83.3
   203	   10109	82.9
   204	   10159	82.0
   205	   10209	81.3
   206	   10259	80.7
   207	   10309	80.0
   208	   10359	79.5
   209	   10409	78.7
   210	   10459	77.4
   211	   10509	76.9
   212	   10559	76.3
   213	   10609	75.6
   214	   10659	74.9
   215	   10709	74.4
   216	   10759	73.8
   217	   10809	73.2
   218	   10859	72.8
   219	   10909	72.1
   220	   10959	71.5
   221	   11009	71.0
   222	   11059	70.5
   223	   11109	69.4
   224	   11159	69.0
   225	   11209	68.3
   226	   11259	67.9
   227	   11310	67.4
   228	   11359	66.7
   229	   11409	66.3
   230	   11459	65.9
   231	   11509	65.4
   232	   11559	65.0
   233	   11609	64.6
   234	   11659	63.9
   235	   11709	63.3
   236	   11759	62.9
   237	   11809	62.5
   238	   11860	62.2
   239	   11909	61.7
   240	   11959	61.4
   241	   12009	61.0
   242	   12059	60.6
   243	   12109	60.2
   244	   12159	59.7
   245	   12210	59.4
   246	   12259	59.0
   247	   12309	58.3
   248	   12359	57.9
   249	   12409	57.7
   250	   12460	57.4
   251	   12509	57.1
   252	   12559	56.7
   253	   12609	56.5
   254	   12659	56.2
   255	   12709	55.8
   256	   12759	55.5
   257	   12809	55.4
   258	   12859	55.1
   259	   12909	54.8
   260	   12960	54.5
   261	   13009	54.1
   262	   13059	54.2
   263	   13109	54.0
   264	   13159	53.8
   265	   13209	53.7
   266	   13259	53.4
   267	   13309	53.3
   268	   13359	53.2
   269	   13409	53.2
   270	   13459	52.9
   271	   13509	52.7
   272	   13559	52.7
   273	   13609	52.5
   274	   13659	52.3
   275	   13711	52.1
   276	   13759	52.2
   277	   13809	52.1
   278	   13858	51.8
   279	   13909	51.9
   280	   13959	51.8
   281	   14011	51.8
   282	   14059	51.8
   283	   14109	51.6
   284	   14159	51.5
   285	   14209	51.5
   286	   14259	51.2
   287	   14309	51.2
   288	   14359	51.2
   289	   14409	51.1
   290	   14459	50.7
   291	   14509	50.9
   292	   14559	50.7
   293	   14608	51.1
   294	   14659	51.4
   295	   14709	51.6
   296	   14758	52.1
   297	   14808	53.3
   298	   14859	54.1
   299	   14909	54.6
   300	   14958	55.6
   301	   15008	56.5
   302	   15058	57.5
   303	   15108	58.3
   304	   15159	59.5
   305	   15209	60.3
   306	   15258	61.5
   307	   15308	62.5
   308	   15358	63.4
   309	   15408	64.2
   310	   15458	65.6
   311	   15508	66.1
   312	   15559	66.5
   313	   15609	66.9
   314	   15658	67.3
   315	   15709	67.4
   316	   15758	67.7
   317	   15808	67.8
   318	   15858	67.8
   319	   15910	67.8
   320	   15959	67.9
   321	   16008	67.9
   322	   16058	67.9
   323	   16108	67.8
   324	   16158	67.8
   325	   16210	67.5
   326	   16258	67.5
   327	   16309	67.5
   328	   16361	67.4
   329	   16408	67.1
   330	   16458	66.6
   331	   16508	66.9
   332	   16558	66.7
   333	   16610	66.6
   334	   16658	66.5
   335	   16709	66.1
   336	   16760	65.7
   337	   16808	65.8
   338	   16858	65.7
   339	   16908	65.6
   340	   16961	65.6
   341	   17011	65.3
   342	   17059	64.5
   343	   17110	64.9
   344	   17158	64.8
   345	   17208	64.3
   346	   17258	64.5
   347	   17308	64.3
   348	   17360	64.1
   349	   17408	63.9
   350	   17458	63.4
   351	   17508	63.7
   352	   17560	63.5
   353	   17610	63.1
   354	   17658	63.1
   355	   17708	63.0
   356	   17758	62.9
   357	   17811	62.6
   358	   17858	62.6
   359	   17908	62.5
   360	   17958	62.2
   361	   18008	62.1
   362	   18058	61.9
   363	   18111	61.8
   364	   18159	61.5
   365	   18208	61.5
   366	   18258	61.4
   367	   18311	61.1
   368	   18360	60.9
   369	   18408	60.7
   370	   18460	60.7
   371	   18511	60.7
   372	   18561	60.5
   373	   18610	60.2
   374	   18660	60.2
   375	   18710	60.1
   376	   18760	59.9
   377	   18810	59.8
   378	   18861	59.7
   379	   18910	59.3
   380	   18960	59.4
   381	   19010	59.4
   382	   19060	59.3
   383	   19110	59.1
   384	   19160	58.9
   385	   19210	58.9
   386	   19261	58.2
   387	   19310	58.5
   388	   19360	58.3
   389	   19410	58.3
   390	   19460	58.2
   391	   19511	58.1
   392	   19560	57.9
   393	   19610	57.8
   394	   19660	57.7
   395	   19710	57.7
   396	   19760	57.4
   397	   19810	57.4
   398	   19860	57.3
   399	   19910	57.1
   400	   19961	57.1
   401	   20010	57.0
   402	   20060	57.0
   403	   20110	56.9
   404	   20160	57.0
   405	   20210	56.9
   406	   20261	56.9
   407	   20310	57.0
   408	   20361	57.0
   409	   20410	57.1
   410	   20460	57.4
   411	   20510	57.4
   412	   20560	57.5
   413	   20610	57.8
   414	   20660	57.5
   415	   20711	58.1
   416	   20760	58.2
   417	   20810	58.3
   418	   20860	58.3
   419	   20910	58.6
   420	   20960	58.3
   421	   21010	58.7
   422	   21060	58.9
   423	   21110	58.9
   424	   21160	58.9
   425	   21212	58.9
   426	   21261	59.0
   427	   21311	59.5
   428	   21361	59.8
   429	   21411	60.3
   430	   21462	60.9
   431	   21511	61.5
   432	   21561	62.3
   433	   21611	63.0
   434	   21661	64.8
   435	   21712	65.6
   436	   21761	66.5
   437	   21812	67.3
   438	   21861	68.2
   439	   21911	69.3
   440	   21961	70.3
   441	   22011	71.3
   442	   22061	72.3
   443	   22111	73.4
   444	   22161	74.2
   445	   22212	74.9
   446	   22261	75.6
   447	   22311	76.9
   448	   22361	77.1
   449	   22411	77.5
   450	   22461	77.8
   451	   22511	78.0
   452	   22562	78.1
   453	   22611	78.2
   454	   22661	78.2
   455	   22711	78.4
   456	   22761	78.2
   457	   22811	78.2
   458	   22861	78.2
   459	   22911	77.7
   460	   22961	78.0
   461	   23011	77.7
   462	   23061	77.4
   463	   23111	77.4
   464	   23161	77.1
   465	   23211	77.0
   466	   23261	76.9
   467	   23311	76.6
   468	   23361	76.4
   469	   23412	76.3
   470	   23461	76.0
   471	   23511	75.6
   472	   23561	75.5
   473	   23611	75.2
   474	   23661	74.9
   475	   23712	74.8
   476	   23761	74.3
   477	   23811	74.4
   478	   23861	74.2
   479	   23911	73.8
   480	   23961	73.8
   481	   24011	73.6
   482	   24062	73.4
   483	   24111	73.2
   484	   24161	72.8
   485	   24212	72.6
   486	   24261	72.5
   487	   24311	72.2
   488	   24361	72.1
   489	   24412	71.9
   490	   24461	71.7
   491	   24511	71.7
   492	   24561	71.4
   493	   24611	71.3
   494	   24661	71.0
   495	   24711	71.0
   496	   24761	70.9
   497	   24811	71.0
   498	   24861	71.0
   499	   24911	71.1
   500	   24961	71.0
   501	   25011	70.7
   502	   25061	71.3
   503	   25111	71.5
   504	   25161	71.7
   505	   25211	71.8
   506	   25261	71.9
   507	   25311	72.1
   508	   25361	72.2
   509	   25411	72.3
   510	   25461	72.5
   511	   25512	72.6
   512	   25561	72.6
   513	   25609	72.5
   514	   25661	72.5
   515	   25709	72.2
   516	   25759	72.2
   517	   25809	72.5
   518	   25859	72.3
   519	   25909	72.2
   520	   25961	72.2
   521	   26009	72.1
   522	   26059	71.9
   523	   26109	71.9
   524	   26159	71.8
   525	   26209	71.8
   526	   26259	71.7
   527	   26309	71.5
   528	   26359	71.1
   529	   26409	71.5
   530	   26459	71.4
   531	   26509	71.0
   532	   26559	71.4
   533	   26609	71.4
   534	   26659	71.5
   535	   26709	71.5
   536	   26759	71.5
   537	   26809	71.7
   538	   26859	71.7
   539	   26909	71.5
   540	   26959	71.7
   541	   27009	71.9
   542	   27059	71.9
   543	   27111	71.9
   544	   27159	71.9
   545	   27209	72.1
   546	   27259	72.1
   547	   27309	72.2
   548	   27359	71.9
   549	   27410	72.1
   550	   27459	72.1
   551	   27509	72.2
   552	   27559	72.1
   553	   27609	72.1
   554	   27659	72.1
   555	   27709	71.9
   556	   27759	71.9
   557	   27809	71.9
   558	   27859	71.8
   559	   27909	71.8
   560	   27959	71.7
   561	   28009	71.3
   562	   28059	71.7
   563	   28109	71.7
   564	   28159	71.7
   565	   28209	71.7
   566	   28259	71.9
   567	   28309	72.1
   568	   28359	72.3
   569	   28409	72.8
   570	   28459	73.3
   571	   28509	74.4
   572	   28559	74.9
   573	   28609	75.8
   574	   28659	76.4
   575	   28709	77.3
   576	   28759	78.0
   577	   28809	78.5
   578	   28859	79.9
   579	   28909	80.7
   580	   28959	81.3
   581	   29009	82.6
   582	   29059	83.3
   583	   29109	84.2
   584	   29159	86.1
