Number	Time	Temperature
     1	      34	33.4
     2	      84	33.6
     3	     134	33.6
     4	     184	33.6
     5	     235	33.2
     6	     284	33.6
     7	     334	33.6
     8	     384	33.6
     9	     434	33.1
    10	     485	33.6
    11	     534	33.4
    12	     584	33.6
    13	     634	33.4
    14	     684	33.4
    15	     735	33.6
    16	     784	33.6
    17	     834	33.6
    18	     884	33.6
    19	     934	33.6
    20	     985	33.4
    21	    1034	33.6
    22	    1084	33.6
    23	    1135	33.6
    24	    1184	33.4
    25	    1234	33.6
    26	    1284	33.6
    27	    1334	33.4
    28	    1384	33.6
    29	    1434	33.6
    30	    1484	33.6
    31	    1534	33.6
    32	    1584	33.6
    33	    1634	33.4
    34	    1684	33.4
    35	    1734	33.6
    36	    1785	33.6
    37	    1835	33.6
    38	    1884	33.4
    39	    1934	33.4
    40	    1984	33.4
    41	    2034	33.4
    42	    2084	33.6
    43	    2134	33.6
    44	    2185	33.1
    45	    2235	33.6
    46	    2284	33.4
    47	    2334	33.4
    48	    2384	33.6
    49	    2434	33.6
    50	    2485	33.4
    51	    2534	33.4
    52	    2584	33.4
    53	    2634	33.4
    54	    2684	33.6
    55	    2734	33.4
    56	    2784	33.4
    57	    2834	33.6
    58	    2884	32.9
    59	    2934	33.2
    60	    2984	33.4
    61	    3034	33.4
    62	    3084	33.4
    63	    3134	33.4
    64	    3184	33.2
    65	    3234	33.4
    66	    3284	33.4
    67	    3334	33.4
    68	    3384	33.4
    69	    3434	33.6
    70	    3484	33.4
    71	    3534	33.4
    72	    3584	33.6
    73	    3634	33.4
    74	    3685	33.6
    75	    3734	33.4
    76	    3784	33.2
    77	    3834	33.6
    78	    3884	33.6
    79	    3934	33.4
    80	    3984	33.4
    81	    4034	33.4
    82	    4085	33.6
    83	    4135	33.6
    84	    4184	33.1
    85	    4234	32.7
    86	    4284	33.1
    87	    4334	33.6
    88	    4385	32.7
    89	    4434	33.4
    90	    4484	33.6
    91	    4534	33.2
    92	    4584	33.4
    93	    4635	33.4
    94	    4684	33.4
    95	    4734	33.1
    96	    4784	33.4
    97	    4834	33.4
    98	    4884	33.4
    99	    4934	33.4
   100	    4984	33.4
   101	    5034	33.4
   102	    5084	33.4
   103	    5134	33.6
   104	    5184	33.6
   105	    5234	33.6
   106	    5284	32.9
   107	    5334	33.4
   108	    5384	33.2
   109	    5434	33.6
   110	    5484	33.4
   111	    5534	33.4
   112	    5584	33.6
   113	    5634	33.2
   114	    5684	33.4
   115	    5734	32.9
   116	    5784	33.6
   117	    5834	33.6
   118	    5884	33.4
   119	    5934	33.4
   120	    5984	33.4
   121	    6034	33.4
   122	    6085	33.4
   123	    6134	33.4
   124	    6184	33.6
   125	    6234	33.4
   126	    6284	33.6
   127	    6334	33.4
   128	    6384	33.4
   129	    6434	33.4
   130	    6484	33.4
   131	    6534	33.4
   132	    6584	33.4
   133	    6634	33.4
   134	    6684	33.4
   135	    6734	33.4
   136	    6784	33.4
   137	    6835	33.4
   138	    6884	33.4
   139	    6934	33.4
   140	    6984	33.4
   141	    7034	33.4
   142	    7084	33.4
   143	    7134	33.6
   144	    7184	33.4
   145	    7234	33.2
   146	    7284	33.4
   147	    7334	33.4
   148	    7384	33.4
   149	    7434	33.6
   150	    7484	33.4
   151	    7534	33.4
   152	    7585	33.6
   153	    7634	33.4
   154	    7684	33.4
   155	    7734	33.4
   156	    7784	33.2
   157	    7834	33.1
   158	    7884	33.2
   159	    7934	33.2
   160	    7984	33.4
   161	    8034	33.4
   162	    8084	33.2
   163	    8134	33.4
   164	    8184	33.4
   165	    8234	33.4
   166	    8284	33.4
   167	    8334	33.4
   168	    8384	33.4
   169	    8434	33.4
   170	    8484	33.4
   171	    8534	33.4
   172	    8584	33.4
   173	    8634	33.2
   174	    8684	32.9
   175	    8733	33.6
   176	    8784	33.4
   177	    8834	33.4
   178	    8884	33.6
   179	    8934	33.4
   180	    8984	33.4
   181	    9034	33.4
   182	    9084	33.4
   183	    9134	33.4
   184	    9184	33.4
   185	    9234	33.4
   186	    9283	33.2
   187	    9334	33.2
   188	    9384	33.6
   189	    9434	33.4
   190	    9485	33.4
   191	    9534	33.4
   192	    9584	33.2
   193	    9634	33.2
   194	    9684	33.4
   195	    9733	33.4
   196	    9783	33.4
   197	    9834	33.4
   198	    9883	33.4
   199	    9934	33.2
   200	    9985	33.1
   201	   10034	33.4
   202	   10084	33.4
   203	   10134	33.1
   204	   10183	33.4
   205	   10234	33.2
   206	   10284	33.2
   207	   10334	33.4
   208	   10384	33.4
   209	   10434	33.2
   210	   10484	33.4
   211	   10533	33.4
   212	   10583	33.4
   213	   10634	33.2
   214	   10683	33.4
   215	   10734	33.4
   216	   10783	33.4
   217	   10833	33.4
   218	   10884	33.1
   219	   10934	33.4
   220	   10985	33.4
   221	   11033	33.4
   222	   11084	33.4
   223	   11134	33.4
   224	   11184	33.2
   225	   11234	33.4
   226	   11283	33.4
   227	   11334	33.4
   228	   11384	33.4
   229	   11435	33.4
   230	   11484	33.1
   231	   11533	33.4
   232	   11584	33.4
   233	   11634	32.9
   234	   11684	33.4
   235	   11733	33.4
   236	   11783	33.4
   237	   11834	33.4
   238	   11884	33.4
   239	   11934	33.4
   240	   11983	33.2
   241	   12033	33.4
   242	   12083	33.4
   243	   12134	33.2
   244	   12184	33.4
   245	   12234	33.4
   246	   12284	33.4
   247	   12334	33.4
   248	   12384	33.4
   249	   12434	33.1
   250	   12483	33.4
   251	   12534	33.2
   252	   12583	33.2
   253	   12634	33.2
   254	   12684	33.4
   255	   12734	33.4
   256	   12784	33.4
   257	   12834	33.4
   258	   12884	33.2
   259	   12933	33.2
   260	   12983	33.4
   261	   13033	33.4
   262	   13084	33.2
   263	   13133	32.7
   264	   13183	33.1
   265	   13234	33.4
   266	   13283	33.4
   267	   13334	33.1
   268	   13383	33.4
   269	   13433	33.2
   270	   13484	33.4
   271	   13534	33.4
   272	   13584	33.4
   273	   13634	32.9
   274	   13684	33.1
   275	   13734	33.4
   276	   13784	33.2
   277	   13834	33.4
   278	   13884	33.4
   279	   13934	33.4
   280	   13984	33.4
   281	   14034	33.4
   282	   14084	33.4
   283	   14134	33.4
   284	   14183	33.4
   285	   14233	32.7
   286	   14284	33.4
   287	   14333	33.4
   288	   14383	33.4
   289	   14433	33.4
   290	   14483	33.2
   291	   14534	33.4
   292	   14584	33.4
   293	   14633	33.4
   294	   14683	33.4
   295	   14733	33.2
   296	   14783	33.4
   297	   14833	33.4
   298	   14884	33.4
   299	   14934	33.4
   300	   14984	33.4
   301	   15034	33.4
   302	   15084	33.4
   303	   15135	33.2
   304	   15184	33.2
   305	   15233	33.2
   306	   15284	33.4
   307	   15333	33.4
   308	   15383	33.4
   309	   15433	33.4
   310	   15483	33.4
   311	   15534	33.4
   312	   15583	33.2
   313	   15633	33.4
   314	   15684	33.2
   315	   15733	33.2
   316	   15783	33.4
   317	   15834	33.4
   318	   15884	33.4
   319	   15934	33.4
   320	   15983	33.4
   321	   16034	33.2
   322	   16084	33.4
   323	   16135	33.4
   324	   16184	33.2
   325	   16234	32.9
   326	   16284	33.1
   327	   16335	33.4
   328	   16384	33.2
   329	   16434	33.2
   330	   16485	33.4
   331	   16535	33.4
   332	   16585	33.2
   333	   16635	33.4
   334	   16684	33.4
   335	   16734	33.4
   336	   16784	33.4
   337	   16834	33.2
   338	   16886	33.4
   339	   16934	33.4
   340	   16984	33.4
   341	   17035	33.4
   342	   17084	33.4
   343	   17134	33.2
   344	   17185	33.2
   345	   17234	33.4
   346	   17284	33.4
   347	   17334	33.4
   348	   17385	33.4
   349	   17435	33.2
   350	   17484	33.1
   351	   17536	33.4
   352	   17585	33.4
   353	   17634	33.2
   354	   17684	33.4
   355	   17734	33.1
   356	   17785	33.4
   357	   17834	33.4
   358	   17884	33.4
   359	   17934	33.2
   360	   17984	33.4
   361	   18035	33.4
   362	   18084	33.2
   363	   18134	33.4
   364	   18184	33.2
   365	   18235	32.9
   366	   18284	33.4
   367	   18334	33.2
   368	   18384	33.4
   369	   18434	33.4
   370	   18484	33.2
   371	   18534	33.2
   372	   18584	33.4
   373	   18634	33.4
   374	   18684	32.9
   375	   18734	33.2
   376	   18784	33.2
   377	   18834	33.2
   378	   18885	33.2
   379	   18934	33.4
   380	   18984	33.1
   381	   19034	33.4
   382	   19084	33.4
   383	   19134	33.2
   384	   19184	33.2
   385	   19236	33.2
   386	   19284	33.2
   387	   19334	33.2
   388	   19384	33.4
   389	   19434	33.2
   390	   19484	33.2
   391	   19534	33.1
   392	   19584	33.4
   393	   19634	33.1
   394	   19684	33.4
   395	   19735	33.2
   396	   19784	33.2
   397	   19834	33.2
   398	   19884	33.4
   399	   19934	33.2
   400	   19984	33.2
   401	   20034	33.2
   402	   20084	33.4
   403	   20134	33.2
   404	   20184	33.2
   405	   20234	33.4
   406	   20284	33.2
   407	   20334	32.7
   408	   20384	33.2
   409	   20434	33.4
   410	   20484	33.4
   411	   20534	33.2
   412	   20584	33.2
   413	   20634	33.2
   414	   20684	33.4
   415	   20735	33.2
   416	   20784	33.2
   417	   20834	33.2
