Cycle	Time	Value
     1	      44	17.0
     2	      94	16.0
     3	     144	26.0
     4	     194	57.0
     5	     244	27.0
     6	     295	30.0
     7	     344	37.0
     8	     394	37.0
     9	     444	37.0
    10	     494	33.0
    11	     544	26.0
    12	     594	21.0
    13	     644	49.0
    14	     694	17.0
    15	     744	40.0
    16	     794	44.0
    17	     844	28.0
    18	     894	45.0
    19	     944	59.0
    20	     995	31.0
    21	    1044	18.0
    22	    1094	50.0
    23	    1144	39.0
    24	    1194	62.0
    25	    1244	44.0
    26	    1294	22.0
    27	    1344	58.0
    28	    1394	26.0
    29	    1445	44.0
    30	    1494	35.0
    31	    1544	52.0
    32	    1594	25.0
    33	    1644	57.0
    34	    1694	41.0
    35	    1744	56.0
    36	    1794	53.0
    37	    1844	34.0
    38	    1894	38.0
    39	    1944	42.0
    40	    1994	38.0
    41	    2045	47.0
    42	    2094	49.0
    43	    2144	23.0
    44	    2194	57.0
    45	    2244	19.0
    46	    2294	53.0
    47	    2344	45.0
    48	    2394	36.0
    49	    2444	55.0
    50	    2494	25.0
    51	    2544	40.0
    52	    2594	26.0
    53	    2644	51.0
    54	    2694	43.0
    55	    2744	32.0
    56	    2794	34.0
    57	    2844	49.0
    58	    2894	50.0
    59	    2944	19.0
    60	    2994	52.0
    61	    3044	34.0
    62	    3094	38.0
    63	    3145	36.0
    64	    3195	24.0
    65	    3244	59.0
    66	    3294	39.0
    67	    3344	60.0
    68	    3394	43.0
    69	    3444	33.0
    70	    3494	46.0
    71	    3544	30.0
    72	    3594	33.0
    73	    3644	41.0
    74	    3694	27.0
    75	    3744	28.0
    76	    3794	21.0
    77	    3844	30.0
    78	    3894	42.0
    79	    3944	16.0
    80	    3994	28.0
    81	    4044	25.0
    82	    4094	49.0
    83	    4144	25.0
    84	    4194	49.0
    85	    4244	39.0
    86	    4294	22.0
    87	    4344	59.0
    88	    4394	40.0
    89	    4444	52.0
    90	    4494	57.0
    91	    4544	57.0
    92	    4594	54.0
    93	    4644	42.0
    94	    4694	54.0
    95	    4744	12.0
    96	    4794	28.0
    97	    4845	32.0
    98	    4894	47.0
    99	    4944	18.0
   100	    4994	29.0
   101	    5044	18.0
   102	    5095	37.0
   103	    5144	35.0
   104	    5194	24.0
   105	    5244	28.0
   106	    5294	60.0
   107	    5344	46.0
   108	    5394	53.0
   109	    5444	35.0
   110	    5494	31.0
   111	    5544	57.0
   112	    5594	35.0
   113	    5644	41.0
   114	    5694	29.0
   115	    5744	31.0
   116	    5794	37.0
   117	    5844	44.0
   118	    5894	44.0
   119	    5944	57.0
   120	    5994	28.0
   121	    6044	33.0
   122	    6094	19.0
   123	    6143	51.0
   124	    6194	24.0
   125	    6244	45.0
   126	    6293	44.0
   127	    6344	50.0
   128	    6394	36.0
   129	    6443	36.0
   130	    6493	41.0
   131	    6544	19.0
   132	    6595	50.0
   133	    6643	25.0
   134	    6693	42.0
   135	    6743	48.0
   136	    6793	22.0
   137	    6843	34.0
   138	    6893	28.0
   139	    6943	26.0
