Cycle	Time	Value
     1	      45	1045.0
     2	      92	1257.0
     3	     142	1177.0
     4	     195	1079.0
     5	     244	1116.0
     6	     295	1139.0
     7	     342	1107.0
     8	     392	1275.0
     9	     442	968.0
    10	     494	1301.0
    11	     544	1181.0
    12	     592	1132.0
    13	     645	955.0
    14	     693	1012.0
    15	     744	1249.0
    16	     792	1240.0
    17	     844	1182.0
    18	     894	1043.0
    19	     942	1109.0
    20	     994	1037.0
    21	    1042	1199.0
    22	    1096	1121.0
    23	    1144	1183.0
    24	    1192	1298.0
    25	    1242	1240.0
    26	    1292	1120.0
    27	    1346	1320.0
    28	    1394	1106.0
    29	    1442	1244.0
    30	    1492	1028.0
    31	    1542	1043.0
    32	    1595	1058.0
    33	    1644	1164.0
    34	    1694	1020.0
    35	    1743	1148.0
    36	    1793	1089.0
    37	    1842	1189.0
    38	    1892	906.0
    39	    1942	1305.0
    40	    1992	1152.0
    41	    2042	1030.0
    42	    2092	1319.0
    43	    2144	1050.0
    44	    2194	1017.0
    45	    2242	1040.0
    46	    2294	1078.0
    47	    2345	1042.0
    48	    2392	1101.0
    49	    2445	1199.0
    50	    2495	978.0
    51	    2544	889.0
    52	    2594	1043.0
    53	    2644	957.0
    54	    2694	1010.0
    55	    2744	946.0
    56	    2794	1098.0
    57	    2844	1067.0
    58	    2894	1024.0
    59	    2944	934.0
    60	    2994	1146.0
    61	    3044	842.0
    62	    3094	1058.0
    63	    3144	852.0
    64	    3195	953.0
    65	    3244	983.0
    66	    3295	976.0
    67	    3344	982.0
    68	    3394	1125.0
    69	    3444	943.0
    70	    3494	1154.0
    71	    3544	1045.0
    72	    3595	981.0
    73	    3644	1141.0
    74	    3694	1148.0
    75	    3744	854.0
    76	    3795	1100.0
    77	    3844	887.0
    78	    3894	970.0
    79	    3944	1095.0
    80	    3994	1046.0
    81	    4045	853.0
    82	    4094	1048.0
    83	    4144	991.0
    84	    4194	1110.0
    85	    4245	1156.0
    86	    4292	987.0
    87	    4343	906.0
    88	    4392	1061.0
    89	    4442	1173.0
    90	    4492	1090.0
    91	    4542	1088.0
    92	    4592	1113.0
    93	    4642	840.0
    94	    4692	1078.0
    95	    4742	991.0
    96	    4792	888.0
    97	    4842	921.0
    98	    4892	1079.0
    99	    4942	871.0
   100	    4992	916.0
   101	    5045	886.0
   102	    5092	990.0
   103	    5142	761.0
   104	    5192	943.0
   105	    5242	818.0
   106	    5292	875.0
   107	    5342	947.0
   108	    5393	981.0
   109	    5442	877.0
   110	    5493	890.0
   111	    5542	894.0
   112	    5592	989.0
   113	    5642	944.0
   114	    5692	928.0
   115	    5742	779.0
   116	    5792	1029.0
   117	    5842	926.0
   118	    5893	962.0
   119	    5942	893.0
   120	    5992	839.0
   121	    6042	969.0
   122	    6092	1086.0
   123	    6142	947.0
   124	    6193	847.0
   125	    6242	1028.0
   126	    6292	980.0
   127	    6342	839.0
   128	    6392	918.0
   129	    6442	1057.0
   130	    6492	806.0
   131	    6542	869.0
   132	    6592	784.0
   133	    6642	733.0
   134	    6692	681.0
   135	    6743	620.0
   136	    6792	862.0
   137	    6842	912.0
   138	    6892	769.0
   139	    6942	836.0
   140	    6993	738.0
   141	    7042	845.0
   142	    7092	810.0
   143	    7142	736.0
   144	    7192	743.0
   145	    7243	853.0
   146	    7292	856.0
   147	    7343	983.0
   148	    7392	899.0
   149	    7442	887.0
   150	    7492	1013.0
   151	    7542	1086.0
   152	    7592	1041.0
   153	    7642	897.0
   154	    7692	849.0
   155	    7742	962.0
   156	    7792	978.0
   157	    7842	952.0
   158	    7892	824.0
   159	    7943	1125.0
   160	    7992	1039.0
   161	    8043	874.0
   162	    8092	971.0
   163	    8142	932.0
   164	    8192	1038.0
   165	    8243	916.0
   166	    8292	1014.0
   167	    8342	866.0
   168	    8392	890.0
   169	    8443	858.0
   170	    8492	869.0
   171	    8542	843.0
