Number	Time	Temperature
     1	      15	33.7
     2	      65	33.6
     3	     115	33.4
     4	     165	33.4
     5	     215	33.6
     6	     265	33.4
     7	     316	33.1
     8	     366	33.2
     9	     415	33.4
    10	     465	32.7
    11	     515	33.4
    12	     565	32.9
    13	     615	33.6
    14	     665	33.6
    15	     715	33.6
    16	     766	33.6
    17	     815	33.7
    18	     865	33.2
    19	     915	33.6
    20	     965	33.7
    21	    1016	33.7
    22	    1065	33.6
    23	    1116	33.6
    24	    1165	33.7
    25	    1215	33.9
    26	    1265	33.7
    27	    1315	33.9
    28	    1365	33.9
    29	    1415	33.9
    30	    1465	33.9
    31	    1515	33.9
    32	    1565	33.7
    33	    1615	33.9
    34	    1665	33.7
    35	    1715	34.1
    36	    1765	33.7
    37	    1815	34.1
    38	    1865	34.1
    39	    1915	34.1
    40	    1965	34.1
    41	    2015	34.3
    42	    2065	34.3
    43	    2115	34.1
    44	    2165	34.1
    45	    2216	34.1
    46	    2265	33.4
    47	    2315	34.3
    48	    2365	34.3
    49	    2415	34.3
    50	    2465	34.3
    51	    2515	34.4
    52	    2565	34.4
    53	    2616	34.3
    54	    2665	34.4
    55	    2715	34.4
    56	    2765	34.3
    57	    2815	34.3
    58	    2865	34.4
    59	    2915	34.4
    60	    2965	34.3
    61	    3015	34.6
    62	    3065	34.3
    63	    3115	34.4
    64	    3165	33.7
    65	    3215	34.6
    66	    3265	34.6
    67	    3315	34.4
    68	    3365	34.6
    69	    3415	34.4
    70	    3465	34.4
    71	    3515	34.4
    72	    3565	34.6
    73	    3615	34.6
    74	    3665	34.4
    75	    3715	34.4
    76	    3765	34.6
    77	    3815	34.6
    78	    3865	34.3
    79	    3915	34.6
    80	    3965	34.4
    81	    4015	34.1
    82	    4066	34.7
    83	    4115	34.6
    84	    4165	34.7
    85	    4215	34.7
    86	    4265	34.4
    87	    4315	34.7
    88	    4365	34.1
    89	    4415	34.7
    90	    4465	34.4
    91	    4515	34.3
    92	    4565	34.7
    93	    4615	34.6
    94	    4665	34.8
    95	    4715	34.8
    96	    4765	34.7
    97	    4815	34.7
    98	    4865	34.7
    99	    4915	34.1
   100	    4965	34.6
   101	    5015	34.7
   102	    5065	34.7
   103	    5115	34.8
   104	    5165	34.6
   105	    5215	34.7
   106	    5265	34.7
   107	    5315	34.8
   108	    5365	34.6
   109	    5415	34.7
   110	    5465	34.8
   111	    5515	34.7
   112	    5565	34.8
   113	    5615	34.8
   114	    5665	34.8
   115	    5715	34.7
   116	    5765	34.7
   117	    5815	34.8
   118	    5865	34.8
   119	    5916	34.8
   120	    5965	34.8
   121	    6015	34.8
   122	    6065	34.8
   123	    6115	35.0
   124	    6166	34.8
   125	    6215	34.6
   126	    6265	34.7
   127	    6315	35.0
   128	    6365	35.0
   129	    6415	35.0
   130	    6465	34.8
   131	    6515	34.3
   132	    6565	35.0
   133	    6615	34.8
   134	    6665	35.0
   135	    6715	35.0
   136	    6765	34.8
   137	    6815	35.0
