Cycle	Time	Value
     1	      34	1631.0
     2	      84	1775.0
     3	     134	1687.0
     4	     184	1712.0
     5	     235	1804.0
     6	     284	1689.0
     7	     334	1692.0
     8	     384	1744.0
     9	     434	1777.0
    10	     485	1619.0
    11	     534	1804.0
    12	     584	1709.0
    13	     634	1568.0
    14	     684	1705.0
    15	     735	1667.0
    16	     784	1711.0
    17	     834	1877.0
    18	     884	1738.0
    19	     934	1474.0
    20	     985	1648.0
    21	    1034	1836.0
    22	    1084	1722.0
    23	    1135	1622.0
    24	    1184	1824.0
    25	    1234	1683.0
    26	    1284	1800.0
    27	    1334	1556.0
    28	    1384	1482.0
    29	    1434	1955.0
    30	    1484	1729.0
    31	    1534	1588.0
    32	    1584	1643.0
    33	    1634	1609.0
    34	    1684	1676.0
    35	    1734	1581.0
    36	    1785	1790.0
    37	    1835	1716.0
    38	    1884	1715.0
    39	    1934	1899.0
    40	    1984	1726.0
    41	    2034	1786.0
    42	    2084	1779.0
    43	    2134	1765.0
    44	    2185	1821.0
    45	    2235	1628.0
    46	    2284	1727.0
    47	    2334	1998.0
    48	    2384	1519.0
    49	    2434	1760.0
    50	    2485	1595.0
    51	    2534	1703.0
    52	    2584	1829.0
    53	    2634	1762.0
    54	    2684	1840.0
    55	    2734	1778.0
    56	    2784	1866.0
    57	    2834	1872.0
    58	    2884	1844.0
    59	    2934	1652.0
    60	    2984	1778.0
    61	    3034	1744.0
    62	    3084	1503.0
    63	    3134	1876.0
    64	    3184	1826.0
    65	    3234	1500.0
    66	    3284	1750.0
    67	    3334	1763.0
    68	    3384	1855.0
    69	    3434	1602.0
    70	    3484	1831.0
    71	    3534	1640.0
    72	    3584	1762.0
    73	    3634	1511.0
    74	    3685	1658.0
    75	    3734	1649.0
    76	    3784	1589.0
    77	    3834	1822.0
    78	    3884	1746.0
    79	    3934	1517.0
    80	    3984	1717.0
    81	    4034	1785.0
    82	    4085	1706.0
    83	    4135	1626.0
    84	    4184	1711.0
    85	    4234	1679.0
    86	    4284	1349.0
    87	    4334	1640.0
    88	    4385	1967.0
    89	    4434	1624.0
    90	    4484	1815.0
    91	    4534	1575.0
    92	    4584	1927.0
    93	    4635	1766.0
    94	    4684	1822.0
