Cycle	Time	Value
     1	      10	1709.0
     2	      60	1830.0
     3	     110	1689.0
     4	     158	1721.0
     5	     210	1595.0
     6	     258	1681.0
     7	     310	1550.0
     8	     360	1660.0
     9	     410	1806.0
    10	     460	1613.0
    11	     510	1844.0
    12	     560	1633.0
    13	     610	1836.0
    14	     660	1806.0
    15	     710	1691.0
    16	     759	1526.0
    17	     810	1652.0
    18	     860	1803.0
    19	     908	1528.0
    20	     960	1762.0
    21	    1010	1785.0
    22	    1060	1664.0
    23	    1110	1655.0
    24	    1160	1774.0
    25	    1210	1680.0
    26	    1260	1586.0
    27	    1310	1908.0
    28	    1360	1783.0
    29	    1410	1701.0
    30	    1461	1534.0
    31	    1511	1497.0
    32	    1560	1493.0
    33	    1610	1706.0
    34	    1660	1633.0
    35	    1711	1490.0
    36	    1760	1953.0
    37	    1810	1627.0
    38	    1860	1802.0
    39	    1910	1671.0
    40	    1960	1636.0
    41	    2010	1468.0
    42	    2060	1785.0
    43	    2110	1829.0
    44	    2160	1578.0
    45	    2210	1870.0
    46	    2260	1722.0
    47	    2310	1605.0
    48	    2360	1808.0
    49	    2410	1664.0
    50	    2460	1754.0
    51	    2510	1691.0
    52	    2560	1481.0
    53	    2611	1344.0
    54	    2660	1743.0
    55	    2710	1709.0
    56	    2760	1503.0
    57	    2810	1621.0
    58	    2860	1432.0
    59	    2910	1556.0
    60	    2960	1650.0
    61	    3010	1892.0
    62	    3060	1586.0
    63	    3110	1486.0
    64	    3160	1713.0
    65	    3210	1550.0
    66	    3260	1782.0
    67	    3311	1605.0
    68	    3360	1785.0
    69	    3410	1768.0
    70	    3460	1906.0
    71	    3510	1595.0
    72	    3560	1785.0
    73	    3610	1668.0
    74	    3660	1819.0
    75	    3711	1735.0
    76	    3761	1865.0
    77	    3811	1763.0
    78	    3861	1838.0
    79	    3911	1741.0
    80	    3961	1779.0
    81	    4011	1839.0
    82	    4061	1902.0
    83	    4111	1838.0
    84	    4161	1736.0
    85	    4211	1732.0
    86	    4261	1711.0
    87	    4311	1580.0
    88	    4361	1941.0
    89	    4411	1970.0
    90	    4462	1911.0
    91	    4511	1785.0
    92	    4561	1817.0
    93	    4611	1746.0
    94	    4661	1669.0
    95	    4711	1729.0
    96	    4761	1839.0
    97	    4811	1727.0
    98	    4861	1602.0
    99	    4911	1931.0
   100	    4961	1768.0
   101	    5011	1669.0
   102	    5061	1672.0
   103	    5111	1811.0
   104	    5162	1522.0
   105	    5211	1525.0
   106	    5261	1874.0
   107	    5311	1696.0
   108	    5361	1624.0
   109	    5412	1793.0
   110	    5461	1719.0
   111	    5511	1879.0
   112	    5561	1774.0
   113	    5611	1763.0
   114	    5661	1954.0
   115	    5711	1845.0
   116	    5761	1418.0
   117	    5811	1830.0
   118	    5862	1890.0
   119	    5911	1651.0
   120	    5961	1812.0
   121	    6011	1737.0
   122	    6061	1617.0
   123	    6111	1514.0
   124	    6161	1814.0
   125	    6211	1708.0
   126	    6261	1754.0
   127	    6312	1693.0
   128	    6361	1768.0
   129	    6411	1915.0
   130	    6461	1854.0
   131	    6511	1949.0
   132	    6561	1789.0
   133	    6611	1681.0
   134	    6661	1574.0
   135	    6711	1672.0
   136	    6761	1796.0
   137	    6811	1721.0
   138	    6861	1697.0
   139	    6911	1769.0
   140	    6961	1626.0
   141	    7012	1656.0
   142	    7061	1950.0
   143	    7111	1704.0
   144	    7161	1705.0
   145	    7211	1815.0
   146	    7261	1764.0
   147	    7311	1743.0
   148	    7361	1745.0
   149	    7411	1686.0
   150	    7461	1639.0
   151	    7511	1818.0
   152	    7561	1659.0
   153	    7611	1661.0
   154	    7661	1548.0
   155	    7711	1605.0
   156	    7761	1651.0
   157	    7811	1680.0
   158	    7861	1860.0
   159	    7911	1924.0
   160	    7961	1867.0
   161	    8011	1617.0
   162	    8061	1653.0
   163	    8109	1764.0
   164	    8160	1593.0
   165	    8209	1660.0
   166	    8259	1499.0
