Number	Time	Temperature
     1	      44	95.0
     2	      94	95.0
     3	     144	95.0
     4	     194	95.2
     5	     244	94.7
     6	     294	95.2
     7	     344	95.2
     8	     394	95.4
     9	     444	95.5
    10	     494	95.5
    11	     545	95.2
    12	     595	95.4
    13	     645	95.4
    14	     694	95.4
    15	     744	95.4
    16	     794	95.2
    17	     845	95.2
    18	     894	94.9
    19	     944	94.9
    20	     994	94.9
    21	    1044	95.2
    22	    1095	95.2
    23	    1144	95.0
    24	    1194	95.0
    25	    1244	94.9
    26	    1294	95.2
    27	    1345	95.0
    28	    1394	95.0
    29	    1444	95.0
    30	    1494	95.0
    31	    1544	94.9
    32	    1596	95.0
    33	    1644	95.0
    34	    1694	95.0
    35	    1744	95.0
    36	    1794	95.2
    37	    1844	94.9
    38	    1894	95.0
    39	    1944	94.9
    40	    1994	95.0
    41	    2044	94.9
    42	    2095	94.2
    43	    2144	95.0
    44	    2194	94.9
    45	    2244	94.9
    46	    2294	95.0
    47	    2344	94.9
    48	    2394	95.2
    49	    2444	95.4
    50	    2495	95.4
    51	    2544	95.4
    52	    2594	95.5
    53	    2644	95.4
    54	    2694	95.4
    55	    2744	95.4
    56	    2794	95.5
    57	    2844	95.4
    58	    2894	95.6
    59	    2944	95.5
    60	    2994	95.5
    61	    3045	95.5
    62	    3093	94.9
    63	    3144	95.0
    64	    3194	94.9
    65	    3244	94.9
    66	    3294	95.2
    67	    3344	95.0
    68	    3394	94.7
    69	    3444	94.9
    70	    3495	94.9
    71	    3544	94.9
    72	    3594	94.7
    73	    3645	94.7
    74	    3695	94.7
    75	    3745	94.7
    76	    3795	94.7
    77	    3845	94.9
    78	    3895	94.7
    79	    3945	93.4
    80	    3994	94.9
    81	    4044	95.2
    82	    4095	95.0
    83	    4144	95.4
    84	    4195	94.6
    85	    4245	95.4
    86	    4295	95.2
    87	    4345	95.2
    88	    4395	95.5
    89	    4445	95.4
    90	    4494	95.0
    91	    4544	95.4
    92	    4595	95.5
    93	    4645	95.2
    94	    4694	94.6
    95	    4744	95.2
    96	    4795	95.6
    97	    4845	95.5
    98	    4895	95.5
    99	    4945	95.5
   100	    4995	95.5
   101	    5045	95.5
   102	    5095	95.5
   103	    5145	94.9
   104	    5194	95.5
   105	    5245	95.0
   106	    5295	95.0
   107	    5346	95.0
   108	    5394	95.2
   109	    5445	95.0
   110	    5495	95.0
   111	    5545	95.0
   112	    5595	94.9
   113	    5645	94.7
   114	    5695	94.7
   115	    5745	94.7
   116	    5795	94.6
   117	    5844	94.7
   118	    5895	94.4
   119	    5945	94.7
   120	    5995	94.6
   121	    6045	94.7
   122	    6095	94.9
   123	    6144	94.9
   124	    6195	94.6
   125	    6244	94.7
   126	    6294	94.7
   127	    6344	94.9
   128	    6394	95.2
   129	    6445	95.2
   130	    6495	95.4
   131	    6545	95.2
   132	    6595	95.5
   133	    6644	95.6
   134	    6694	95.6
   135	    6744	95.6
   136	    6795	95.2
   137	    6844	95.4
   138	    6894	95.6
   139	    6946	95.0
   140	    6994	95.4
   141	    7044	95.2
   142	    7095	94.9
   143	    7144	95.2
   144	    7196	95.2
   145	    7244	95.0
   146	    7295	94.6
   147	    7345	94.1
   148	    7394	93.8
   149	    7445	93.4
   150	    7494	93.1
   151	    7544	92.5
   152	    7594	91.7
   153	    7644	91.5
   154	    7694	90.7
   155	    7744	89.9
   156	    7794	89.6
   157	    7844	88.4
   158	    7894	88.4
   159	    7945	88.2
   160	    7994	87.6
   161	    8045	87.3
   162	    8094	86.8
   163	    8144	86.3
   164	    8195	86.1
   165	    8244	85.4
   166	    8295	84.8
   167	    8344	84.5
   168	    8395	84.1
   169	    8444	83.6
   170	    8494	83.0
   171	    8544	82.4
   172	    8594	81.7
   173	    8644	81.8
   174	    8694	81.7
   175	    8744	80.9
   176	    8795	80.9
   177	    8844	80.1
   178	    8896	80.1
   179	    8944	80.0
   180	    8994	79.0
   181	    9045	78.8
   182	    9094	78.4
   183	    9144	77.9
   184	    9194	77.9
   185	    9244	76.9
   186	    9294	76.9
   187	    9344	76.3
   188	    9394	74.1
   189	    9444	76.0
   190	    9494	75.8
