Cycle	Time	Value
     1	      43	722.0
     2	      93	597.0
     3	     142	384.0
     4	     193	527.0
     5	     243	561.0
     6	     293	641.0
     7	     342	451.0
     8	     392	390.0
     9	     442	475.0
    10	     492	483.0
    11	     542	508.0
    12	     592	401.0
    13	     642	519.0
    14	     692	518.0
    15	     742	524.0
    16	     792	601.0
    17	     842	538.0
    18	     894	525.0
    19	     942	535.0
    20	     992	624.0
    21	    1042	532.0
    22	    1092	569.0
    23	    1142	555.0
    24	    1192	570.0
    25	    1242	574.0
    26	    1293	509.0
    27	    1343	481.0
    28	    1392	701.0
    29	    1442	699.0
    30	    1492	493.0
    31	    1542	542.0
    32	    1592	470.0
    33	    1642	612.0
    34	    1692	535.0
    35	    1742	737.0
    36	    1792	538.0
    37	    1842	664.0
    38	    1892	734.0
    39	    1942	666.0
    40	    1992	702.0
    41	    2042	668.0
    42	    2092	553.0
    43	    2142	545.0
    44	    2192	767.0
    45	    2242	549.0
    46	    2292	758.0
    47	    2343	653.0
    48	    2392	709.0
    49	    2442	656.0
    50	    2492	650.0
    51	    2542	735.0
    52	    2592	650.0
    53	    2642	633.0
    54	    2692	781.0
    55	    2742	619.0
    56	    2792	657.0
    57	    2842	534.0
    58	    2892	718.0
    59	    2943	644.0
    60	    2992	709.0
    61	    3042	566.0
    62	    3093	777.0
    63	    3143	666.0
    64	    3193	658.0
    65	    3243	633.0
    66	    3292	718.0
    67	    3343	584.0
    68	    3392	688.0
    69	    3442	567.0
    70	    3492	505.0
    71	    3542	680.0
    72	    3592	597.0
    73	    3642	534.0
    74	    3692	638.0
    75	    3742	547.0
    76	    3792	549.0
    77	    3843	656.0
    78	    3892	658.0
    79	    3942	566.0
    80	    3992	608.0
    81	    4042	562.0
    82	    4093	576.0
    83	    4142	638.0
    84	    4192	455.0
    85	    4242	619.0
    86	    4292	629.0
    87	    4342	606.0
    88	    4392	554.0
    89	    4442	482.0
    90	    4493	507.0
    91	    4542	525.0
    92	    4592	441.0
    93	    4642	581.0
    94	    4692	447.0
    95	    4742	558.0
    96	    4792	521.0
    97	    4842	534.0
    98	    4892	571.0
    99	    4942	548.0
   100	    4993	488.0
   101	    5043	530.0
   102	    5092	621.0
   103	    5142	663.0
   104	    5192	531.0
   105	    5242	530.0
   106	    5292	406.0
   107	    5342	464.0
   108	    5392	522.0
   109	    5442	479.0
   110	    5492	505.0
   111	    5543	398.0
   112	    5592	612.0
   113	    5642	529.0
   114	    5692	506.0
   115	    5742	543.0
   116	    5793	498.0
   117	    5842	506.0
   118	    5892	550.0
   119	    5943	496.0
   120	    5992	559.0
   121	    6042	644.0
   122	    6093	471.0
   123	    6142	472.0
   124	    6192	573.0
   125	    6242	562.0
   126	    6292	550.0
   127	    6342	558.0
   128	    6392	430.0
   129	    6442	464.0
   130	    6493	499.0
   131	    6542	538.0
   132	    6592	500.0
   133	    6642	597.0
   134	    6692	471.0
   135	    6743	442.0
   136	    6792	621.0
   137	    6843	615.0
   138	    6893	636.0
   139	    6942	552.0
   140	    6992	563.0
   141	    7042	557.0
   142	    7092	548.0
   143	    7142	574.0
   144	    7192	502.0
   145	    7242	679.0
   146	    7292	500.0
   147	    7342	664.0
   148	    7392	606.0
   149	    7442	550.0
   150	    7492	590.0
   151	    7542	567.0
   152	    7592	536.0
   153	    7642	527.0
   154	    7692	652.0
   155	    7742	570.0
   156	    7792	569.0
   157	    7842	436.0
   158	    7892	504.0
   159	    7943	581.0
   160	    7992	612.0
   161	    8042	481.0
   162	    8092	518.0
   163	    8142	636.0
   164	    8192	457.0
   165	    8242	520.0
   166	    8292	563.0
   167	    8342	445.0
   168	    8392	525.0
   169	    8443	464.0
   170	    8490	599.0
   171	    8540	486.0
   172	    8590	609.0
   173	    8640	459.0
   174	    8690	444.0
   175	    8740	597.0
   176	    8790	468.0
   177	    8840	497.0
   178	    8890	482.0
   179	    8940	736.0
   180	    8990	557.0
   181	    9040	235.0
   182	    9091	135.0
   183	    9140	333.0
   184	    9190	639.0
   185	    9240	593.0
   186	    9290	561.0
   187	    9340	427.0
   188	    9390	46.0
   189	    9440	15.0
   190	    9492	11.0
   191	    9540	14.0
   192	    9590	6.0
   193	    9640	11.0
   194	    9690	1.0
   195	    9740	0.0
   196	    9790	18.0
   197	    9840	69.0
   198	    9892	48.0
   199	    9940	16.0
   200	    9990	6.0
   201	   10040	7.0
