Cycle	Time	Value
     1	       4	1797.0
     2	      48	1719.0
     3	      96	1919.0
     4	     148	1748.0
     5	     195	1785.0
     6	     247	1833.0
     7	     298	1813.0
     8	     346	1555.0
     9	     395	1931.0
    10	     448	1417.0
    11	     498	1825.0
    12	     547	1330.0
    13	     597	1855.0
    14	     647	1539.0
    15	     698	1793.0
    16	     748	1921.0
    17	     796	1740.0
    18	     846	1735.0
    19	     897	1431.0
    20	     947	1788.0
    21	     997	1695.0
    22	    1048	1892.0
    23	    1097	1796.0
    24	    1147	1719.0
    25	    1197	1722.0
    26	    1247	1662.0
    27	    1297	1767.0
    28	    1347	1964.0
    29	    1397	1578.0
    30	    1447	1889.0
    31	    1498	1924.0
    32	    1547	1973.0
    33	    1597	1765.0
    34	    1647	1934.0
    35	    1697	2025.0
    36	    1747	1743.0
    37	    1797	1613.0
    38	    1847	1779.0
    39	    1897	1924.0
    40	    1947	1833.0
    41	    1997	1641.0
    42	    2047	1629.0
    43	    2097	1414.0
    44	    2148	638.0
    45	    2197	0.0
    46	    2247	0.0
    47	    2297	0.0
    48	    2347	0.0
    49	    2397	0.0
    50	    2447	0.0
    51	    2497	0.0
    52	    2547	0.0
    53	    2598	0.0
    54	    2647	0.0
    55	    2697	0.0
    56	    2747	0.0
    57	    2797	0.0
    58	    2847	0.0
    59	    2897	0.0
    60	    2947	0.0
    61	    2997	0.0
    62	    3047	0.0
    63	    3097	0.0
    64	    3147	0.0
    65	    3197	1.0
    66	    3248	0.0
    67	    3297	0.0
    68	    3348	0.0
    69	    3397	0.0
    70	    3447	0.0
    71	    3497	1.0
    72	    3548	0.0
    73	    3597	0.0
    74	    3647	0.0
    75	    3697	1.0
    76	    3747	0.0
    77	    3797	0.0
    78	    3847	1.0
    79	    3897	0.0
    80	    3947	0.0
    81	    3998	0.0
    82	    4047	0.0
    83	    4097	0.0
    84	    4148	0.0
    85	    4197	0.0
    86	    4245	4.0
    87	    4295	0.0
    88	    4345	0.0
    89	    4395	0.0
    90	    4445	0.0
    91	    4496	0.0
    92	    4545	0.0
    93	    4595	0.0
    94	    4645	0.0
    95	    4695	0.0
    96	    4745	0.0
    97	    4795	0.0
    98	    4845	0.0
    99	    4895	0.0
   100	    4945	0.0
   101	    4995	0.0
   102	    5045	0.0
   103	    5095	0.0
   104	    5146	0.0
   105	    5195	0.0
   106	    5245	0.0
   107	    5295	0.0
   108	    5345	0.0
   109	    5396	0.0
   110	    5445	0.0
   111	    5495	0.0
   112	    5545	0.0
   113	    5595	102.0
   114	    5646	525.0
   115	    5695	1530.0
   116	    5745	1689.0
   117	    5795	1741.0
   118	    5845	1870.0
   119	    5895	1862.0
   120	    5946	1770.0
   121	    5995	1781.0
   122	    6045	2029.0
   123	    6095	1989.0
   124	    6146	2057.0
   125	    6195	1791.0
   126	    6246	2017.0
   127	    6295	2041.0
   128	    6346	2159.0
   129	    6395	1841.0
   130	    6446	1822.0
   131	    6495	1894.0
   132	    6545	1922.0
   133	    6595	1737.0
   134	    6645	1893.0
   135	    6695	2001.0
   136	    6745	1876.0
   137	    6795	1617.0
   138	    6845	1969.0
   139	    6895	1656.0
   140	    6945	2064.0
   141	    6996	1830.0
   142	    7045	1668.0
   143	    7095	1861.0
   144	    7145	1876.0
   145	    7195	1908.0
   146	    7245	1762.0
   147	    7295	1886.0
   148	    7346	2133.0
   149	    7395	1739.0
   150	    7446	1616.0
   151	    7495	1903.0
   152	    7545	1658.0
   153	    7595	1881.0
   154	    7645	2001.0
   155	    7695	1924.0
   156	    7745	1819.0
   157	    7795	1685.0
   158	    7845	1742.0
   159	    7895	1524.0
   160	    7945	1759.0
   161	    7995	1796.0
   162	    8045	1728.0
   163	    8096	1748.0
   164	    8145	1749.0
   165	    8195	1599.0
   166	    8245	1655.0
   167	    8295	1880.0
   168	    8345	1755.0
   169	    8395	1791.0
   170	    8445	1823.0
   171	    8495	1652.0
   172	    8545	1720.0
   173	    8595	1810.0
   174	    8645	1281.0
   175	    8695	1807.0
   176	    8745	1859.0
   177	    8795	1671.0
   178	    8845	1666.0
   179	    8895	1528.0
   180	    8945	1689.0
   181	    8995	1639.0
   182	    9046	1712.0
   183	    9095	1788.0
   184	    9145	1501.0
   185	    9195	1733.0
   186	    9245	1530.0
   187	    9296	1687.0
   188	    9345	1565.0
   189	    9395	1536.0
   190	    9445	786.0
   191	    9495	827.0
   192	    9546	606.0
   193	    9595	225.0
   194	    9645	142.0
   195	    9695	101.0
   196	    9745	1194.0
   197	    9796	1215.0
   198	    9845	1561.0
   199	    9895	1799.0
   200	    9946	1640.0
   201	    9995	1564.0
   202	   10047	1550.0
   203	   10095	1615.0
   204	   10145	1596.0
   205	   10195	1733.0
   206	   10246	1630.0
   207	   10296	1706.0
   208	   10346	1454.0
   209	   10396	1476.0
   210	   10446	1549.0
   211	   10496	1712.0
   212	   10548	1603.0
   213	   10596	1695.0
   214	   10646	1563.0
   215	   10696	1512.0
   216	   10746	1746.0
   217	   10796	1430.0
   218	   10846	1659.0
   219	   10896	1501.0
   220	   10946	1564.0
   221	   10996	1611.0
   222	   11047	1740.0
   223	   11096	1574.0
   224	   11147	1702.0
   225	   11196	1533.0
   226	   11246	1252.0
   227	   11296	1653.0
   228	   11346	1610.0
   229	   11396	1528.0
   230	   11446	1757.0
   231	   11498	1673.0
   232	   11546	1518.0
   233	   11596	1232.0
   234	   11646	1561.0
   235	   11696	1573.0
   236	   11746	1691.0
   237	   11796	1639.0
   238	   11846	1545.0
   239	   11896	1611.0
   240	   11946	1503.0
   241	   11996	1630.0
   242	   12046	1473.0
   243	   12096	1669.0
   244	   12146	1497.0
   245	   12196	1575.0
   246	   12246	1672.0
   247	   12296	1711.0
   248	   12346	1637.0
   249	   12396	1620.0
   250	   12446	1422.0
   251	   12496	1521.0
   252	   12546	1608.0
   253	   12596	1715.0
   254	   12646	1707.0
   255	   12697	1609.0
   256	   12746	1570.0
   257	   12796	1653.0
   258	   12846	1513.0
   259	   12896	1409.0
   260	   12947	1667.0
   261	   12996	1396.0
   262	   13046	1403.0
   263	   13096	1617.0
   264	   13146	1450.0
   265	   13197	1717.0
   266	   13246	1499.0
   267	   13296	1668.0
   268	   13346	1454.0
   269	   13396	1534.0
   270	   13447	1674.0
   271	   13496	1747.0
   272	   13546	1811.0
   273	   13596	1695.0
   274	   13646	1554.0
   275	   13698	1381.0
   276	   13746	1581.0
   277	   13796	1759.0
   278	   13846	1679.0
   279	   13896	1521.0
   280	   13946	1547.0
   281	   13997	1688.0
   282	   14046	1536.0
   283	   14096	1454.0
   284	   14146	1661.0
   285	   14196	1627.0
   286	   14246	1351.0
   287	   14296	1685.0
   288	   14346	1541.0
   289	   14396	1385.0
   290	   14446	1406.0
   291	   14496	1452.0
   292	   14546	1677.0
   293	   14596	1670.0
   294	   14646	1488.0
   295	   14696	754.0
   296	   14746	1505.0
   297	   14796	1545.0
   298	   14846	1532.0
   299	   14896	930.0
   300	   14948	1647.0
   301	   14996	1648.0
   302	   15046	1690.0
   303	   15096	1462.0
   304	   15146	735.0
   305	   15196	1712.0
   306	   15246	1825.0
   307	   15295	1653.0
   308	   15348	200.0
   309	   15396	1031.0
   310	   15446	1798.0
   311	   15496	1813.0
   312	   15546	290.0
   313	   15596	993.0
   314	   15647	1765.0
   315	   15696	1784.0
   316	   15746	1651.0
   317	   15796	72.0
   318	   15848	509.0
   319	   15898	1867.0
   320	   15947	1497.0
   321	   15996	1577.0
   322	   16046	636.0
   323	   16095	1586.0
   324	   16146	1717.0
   325	   16196	1695.0
   326	   16246	1579.0
   327	   16296	1504.0
   328	   16346	1711.0
   329	   16396	1692.0
   330	   16448	1812.0
   331	   16496	1718.0
   332	   16546	1647.0
   333	   16596	1794.0
   334	   16645	1680.0
   335	   16698	1988.0
   336	   16746	1695.0
   337	   16796	1843.0
   338	   16846	1908.0
   339	   16898	1936.0
   340	   16946	1732.0
