Number	Time	Temperature
     1	      32	70.9
     2	      82	70.8
     3	     132	70.4
     4	     182	70.8
     5	     232	70.9
     6	     282	70.8
     7	     334	70.8
     8	     382	70.9
     9	     432	70.6
    10	     482	70.6
    11	     532	70.8
    12	     583	70.8
    13	     632	70.8
    14	     682	70.8
    15	     732	70.8
    16	     782	70.9
    17	     833	71.2
    18	     882	71.2
    19	     932	71.3
    20	     982	71.2
    21	    1032	70.8
    22	    1082	71.3
    23	    1132	71.2
    24	    1182	71.3
    25	    1232	70.9
    26	    1282	71.2
    27	    1332	71.2
    28	    1382	70.9
    29	    1433	70.9
    30	    1482	70.9
    31	    1532	70.9
    32	    1583	70.6
    33	    1632	70.8
    34	    1682	70.8
    35	    1732	70.8
    36	    1782	70.8
    37	    1832	70.6
    38	    1882	70.9
    39	    1932	70.8
    40	    1982	70.6
    41	    2032	70.8
    42	    2082	70.9
    43	    2132	70.6
    44	    2183	71.0
    45	    2232	71.0
    46	    2283	71.0
    47	    2332	71.0
    48	    2382	70.8
    49	    2432	70.9
    50	    2482	71.2
    51	    2533	71.0
    52	    2582	71.0
    53	    2632	70.9
    54	    2683	71.0
    55	    2732	71.0
    56	    2782	71.2
    57	    2832	71.2
    58	    2882	71.2
    59	    2932	71.2
    60	    2982	71.2
    61	    3032	71.2
    62	    3082	71.3
    63	    3132	71.2
    64	    3182	71.2
    65	    3232	71.3
    66	    3282	71.3
    67	    3332	71.2
    68	    3382	70.8
    69	    3432	70.9
    70	    3482	70.5
    71	    3532	70.5
    72	    3582	70.6
    73	    3632	70.8
    74	    3682	70.8
    75	    3732	70.8
    76	    3782	70.9
    77	    3832	70.9
    78	    3882	70.6
    79	    3932	70.8
    80	    3982	70.6
    81	    4033	70.5
    82	    4082	70.9
    83	    4132	70.8
    84	    4182	71.0
    85	    4233	71.0
    86	    4282	71.2
    87	    4332	70.8
    88	    4382	70.9
    89	    4432	71.2
    90	    4483	71.2
    91	    4533	71.2
    92	    4582	71.3
    93	    4632	71.3
    94	    4682	71.6
    95	    4732	71.4
    96	    4782	71.3
    97	    4832	71.4
    98	    4882	71.4
    99	    4932	71.6
   100	    4982	71.4
   101	    5032	71.3
   102	    5082	71.6
   103	    5133	71.6
   104	    5182	71.6
   105	    5232	71.4
   106	    5283	71.6
   107	    5332	71.6
   108	    5382	71.6
   109	    5432	71.7
   110	    5482	71.0
   111	    5532	71.4
   112	    5582	71.4
   113	    5632	71.4
   114	    5683	71.6
   115	    5733	71.3
   116	    5783	71.4
   117	    5833	71.2
   118	    5884	71.4
   119	    5933	71.4
   120	    5983	71.4
   121	    6033	71.7
   122	    6083	71.6
   123	    6133	71.4
   124	    6184	71.7
   125	    6233	71.6
   126	    6283	71.7
   127	    6333	71.8
   128	    6384	71.4
   129	    6434	71.4
   130	    6483	71.6
   131	    6533	71.3
   132	    6583	71.3
   133	    6633	71.8
   134	    6683	72.0
   135	    6733	72.0
   136	    6783	71.7
   137	    6833	72.0
   138	    6883	72.0
   139	    6933	71.8
   140	    6984	72.0
   141	    7033	72.0
   142	    7083	72.1
   143	    7133	71.6
   144	    7183	72.0
   145	    7233	72.0
   146	    7283	72.1
   147	    7333	72.0
   148	    7383	71.8
   149	    7433	72.0
   150	    7483	71.8
   151	    7533	71.8
   152	    7583	71.8
   153	    7633	71.8
   154	    7683	71.7
   155	    7733	72.0
   156	    7783	71.7
   157	    7833	71.7
   158	    7884	71.0
   159	    7933	71.7
   160	    7983	71.6
   161	    8033	71.7
   162	    8083	71.7
   163	    8133	71.7
   164	    8183	71.3
   165	    8234	71.6
   166	    8283	71.4
   167	    8333	71.6
   168	    8384	71.4
   169	    8433	71.3
   170	    8483	71.6
   171	    8533	71.6
   172	    8583	71.8
   173	    8633	71.8
   174	    8683	71.7
   175	    8733	71.7
   176	    8781	71.7
   177	    8831	71.6
   178	    8882	71.8
   179	    8931	71.7
   180	    8981	71.8
   181	    9031	71.4
   182	    9081	71.8
   183	    9131	71.4
   184	    9181	71.8
   185	    9231	71.7
   186	    9281	71.7
   187	    9331	71.8
   188	    9382	72.0
   189	    9431	72.0
   190	    9481	71.8
   191	    9531	71.7
   192	    9581	71.7
   193	    9631	71.7
   194	    9681	71.3
   195	    9731	71.6
   196	    9781	71.6
   197	    9831	71.7
   198	    9882	71.4
   199	    9931	71.7
   200	    9981	72.0
   201	   10031	71.8
   202	   10081	72.1
   203	   10133	72.2
   204	   10181	72.4
   205	   10231	72.1
   206	   10281	72.1
   207	   10331	72.1
   208	   10381	71.8
   209	   10431	72.0
   210	   10481	72.1
