[2015:12:07-21:36:46] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1648.0
[2015:12:07-21:36:47] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1726.0
[2015:12:07-21:36:48] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 2s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1778.0
[2015:12:07-21:36:49] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 3s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1717.0
[2015:12:07-21:36:50] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 4s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1542.0
[2015:12:07-21:36:51] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 5s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1712.0
[2015:12:07-21:36:52] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 6s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1949.0
[2015:12:07-21:36:53] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 7s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1726.0
[2015:12:07-21:36:54] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 8s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1480.0
[2015:12:07-21:36:55] cmd: 1, targetTemp: 95.0, temp: 33.1, elapsed time: 0m 9s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1664.0
[2015:12:07-21:36:56] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 10s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1617.0
[2015:12:07-21:36:57] cmd: 1, targetTemp: 95.0, temp: 33.2, elapsed time: 0m 11s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1668.0
[2015:12:07-21:36:58] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 12s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1620.0
[2015:12:07-21:36:59] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 13s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1716.0
[2015:12:07-21:37:00] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 14s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1660.0
[2015:12:07-21:37:01] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 15s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1695.0
[2015:12:07-21:37:02] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 16s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1693.0
[2015:12:07-21:37:03] cmd: 1, targetTemp: 95.0, temp: 33.4, elapsed time: 0m 17s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1544.0
[2015:12:07-21:37:04] cmd: 1, targetTemp: 95.0, temp: 33.1, elapsed time: 0m 18s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1605.0
