[2015:12:07-21:34:21] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1706.0
[2015:12:07-21:34:22] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1442.0
[2015:12:07-21:34:23] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 2s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1021.0
[2015:12:07-21:34:24] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 3s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 215.0
[2015:12:07-21:34:25] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 4s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 781.0
[2015:12:07-21:34:26] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 5s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1549.0
[2015:12:07-21:34:27] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 6s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1503.0
[2015:12:07-21:34:28] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 7s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1760.0
[2015:12:07-21:34:29] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 8s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1610.0
[2015:12:07-21:34:30] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 9s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1601.0
[2015:12:07-21:34:31] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 10s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1743.0
[2015:12:07-21:34:32] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 11s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1676.0
[2015:12:07-21:34:33] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 12s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1520.0
[2015:12:07-21:34:34] cmd: 1, targetTemp: 95.0, temp: 34.4, elapsed time: 0m 13s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1420.0
[2015:12:07-21:34:35] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 14s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1691.0
[2015:12:07-21:34:36] cmd: 1, targetTemp: 95.0, temp: 34.3, elapsed time: 0m 15s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1282.0
