[2015:12:07-22:29:07] cmd: 1, targetTemp: 95.0, temp: 94.9, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1747.0
[2015:12:07-22:29:08] cmd: 1, targetTemp: 95.0, temp: 95.0, elapsed time: 0m 1s, line Time: 4s, protocol Time: 34s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1882.0
[2015:12:07-22:29:09] cmd: 1, targetTemp: 95.0, temp: 95.5, elapsed time: 0m 2s, line Time: 3s, protocol Time: 33s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1826.0
[2015:12:07-22:29:10] cmd: 1, targetTemp: 95.0, temp: 94.9, elapsed time: 0m 3s, line Time: 2s, protocol Time: 32s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1870.0
[2015:12:07-22:29:11] cmd: 1, targetTemp: 95.0, temp: 95.5, elapsed time: 0m 4s, line Time: 1s, protocol Time: 31s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1656.0
[2015:12:07-22:29:12] cmd: 1, targetTemp: 95.0, temp: 94.6, elapsed time: 0m 5s, line Time: 0s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1751.0
[2015:12:07-22:29:13] cmd: 1, targetTemp: 60.0, temp: 95.4, elapsed time: 0m 6s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1904.0
[2015:12:07-22:29:14] cmd: 1, targetTemp: 60.0, temp: 87.6, elapsed time: 0m 7s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1746.0
[2015:12:07-22:29:15] cmd: 1, targetTemp: 60.0, temp: 79.0, elapsed time: 0m 8s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1857.0
