[2015:12:07-21:24:19] cmd: 1, targetTemp: 0.0, temp: 33.7, elapsed time: 0m 0s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:20] cmd: 1, targetTemp: 0.0, temp: 34.1, elapsed time: 0m 1s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:21] cmd: 1, targetTemp: 0.0, temp: 34.3, elapsed time: 0m 2s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:22] cmd: 1, targetTemp: 0.0, temp: 34.4, elapsed time: 0m 3s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:23] cmd: 1, targetTemp: 0.0, temp: 34.6, elapsed time: 0m 4s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:24] cmd: 1, targetTemp: 0.0, temp: 34.8, elapsed time: 0m 5s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:25] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 6s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:26] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 7s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:27] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 8s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:28] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 9s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:29] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 10s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:30] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 11s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:31] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 12s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:32] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 13s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:33] cmd: 1, targetTemp: 0.0, temp: 34.7, elapsed time: 0m 14s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:34] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 15s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:35] cmd: 1, targetTemp: 0.0, temp: 34.8, elapsed time: 0m 16s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:36] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 17s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:37] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 18s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:38] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 19s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:39] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 20s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:40] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 21s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:41] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 22s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:42] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 23s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:43] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 24s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:44] cmd: 1, targetTemp: 0.0, temp: 34.7, elapsed time: 0m 25s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:45] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 26s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:46] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 27s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:47] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 28s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:48] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 29s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:49] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 30s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:50] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 31s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:51] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 32s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:52] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 33s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:53] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 34s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:54] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 35s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:55] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 36s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:56] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 37s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:57] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 38s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:24:58] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 39s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1770.0
[2015:12:07-21:24:59] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 40s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 124.0
[2015:12:07-21:25:00] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 41s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 115.0
[2015:12:07-21:25:01] cmd: 1, targetTemp: 0.0, temp: 34.8, elapsed time: 0m 42s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:02] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 43s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 510.0
[2015:12:07-21:25:03] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 44s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 261.0
[2015:12:07-21:25:04] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 45s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 701.0
[2015:12:07-21:25:05] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 46s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 675.0
[2015:12:07-21:25:06] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 47s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1684.0
[2015:12:07-21:25:07] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 48s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1617.0
[2015:12:07-21:25:08] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 49s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1708.0
[2015:12:07-21:25:09] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 50s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1153.0
[2015:12:07-21:25:10] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 51s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:11] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 52s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1413.0
[2015:12:07-21:25:12] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 53s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:13] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 54s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:14] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 55s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1531.0
[2015:12:07-21:25:15] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 56s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 813.0
[2015:12:07-21:25:16] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 57s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:17] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 58s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:18] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 59s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:25:19] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 1m 0s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
