[2015:12:07-22:13:54] cmd: 1, targetTemp: 95.0, temp: 54.4, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 624.0
[2015:12:07-22:13:55] cmd: 1, targetTemp: 95.0, temp: 76.5, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 702.0
[2015:12:07-22:13:56] cmd: 1, targetTemp: 95.0, temp: 95.0, elapsed time: 0m 2s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 709.0
[2015:12:07-22:13:57] cmd: 1, targetTemp: 95.0, temp: 99.1, elapsed time: 0m 3s, line Time: 4s, protocol Time: 34s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 608.0
[2015:12:07-22:13:58] cmd: 1, targetTemp: 95.0, temp: 94.1, elapsed time: 0m 4s, line Time: 3s, protocol Time: 33s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 488.0
[2015:12:07-22:13:59] cmd: 1, targetTemp: 95.0, temp: 95.9, elapsed time: 0m 5s, line Time: 2s, protocol Time: 32s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 559.0
[2015:12:07-22:14:00] cmd: 1, targetTemp: 95.0, temp: 94.2, elapsed time: 0m 6s, line Time: 1s, protocol Time: 31s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 563.0
[2015:12:07-22:14:01] cmd: 1, targetTemp: 95.0, temp: 95.2, elapsed time: 0m 7s, line Time: 0s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 612.0
[2015:12:07-22:14:02] cmd: 1, targetTemp: 60.0, temp: 95.4, elapsed time: 0m 8s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 557.0
[2015:12:07-22:14:03] cmd: 1, targetTemp: 60.0, temp: 87.3, elapsed time: 0m 9s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 6.0
[2015:12:07-22:14:04] cmd: 1, targetTemp: 60.0, temp: 81.1, elapsed time: 0m 10s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 9.0
[2015:12:07-22:14:05] cmd: 1, targetTemp: 60.0, temp: 75.5, elapsed time: 0m 11s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 12.0
[2015:12:07-22:14:06] cmd: 1, targetTemp: 60.0, temp: 71.0, elapsed time: 0m 12s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 2.0
[2015:12:07-22:14:07] cmd: 1, targetTemp: 60.0, temp: 66.7, elapsed time: 0m 13s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 3.0
[2015:12:07-22:14:08] cmd: 1, targetTemp: 60.0, temp: 64.3, elapsed time: 0m 14s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 3.0
[2015:12:07-22:14:09] cmd: 1, targetTemp: 60.0, temp: 62.9, elapsed time: 0m 15s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 15.0
[2015:12:07-22:14:10] cmd: 1, targetTemp: 60.0, temp: 60.8, elapsed time: 0m 16s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 5.0
[2015:12:07-22:14:11] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 17s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 10, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1.0
[2015:12:07-22:14:12] cmd: 1, targetTemp: 60.0, temp: 58.5, elapsed time: 0m 18s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 30, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 5.0
[2015:12:07-22:14:13] cmd: 1, targetTemp: 60.0, temp: 57.4, elapsed time: 0m 19s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 50, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:14:14] cmd: 1, targetTemp: 60.0, temp: 56.6, elapsed time: 0m 20s, line Time: 4s, protocol Time: 29s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 8.0
[2015:12:07-22:14:15] cmd: 1, targetTemp: 60.0, temp: 59.3, elapsed time: 0m 21s, line Time: 3s, protocol Time: 28s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 2.0
[2015:12:07-22:14:16] cmd: 1, targetTemp: 60.0, temp: 63.6, elapsed time: 0m 22s, line Time: 2s, protocol Time: 27s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 5.0
[2015:12:07-22:14:17] cmd: 1, targetTemp: 60.0, temp: 62.7, elapsed time: 0m 23s, line Time: 1s, protocol Time: 26s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 276.0
