[2015:12:07-21:48:16] cmd: 1, targetTemp: 95.0, temp: 95.0, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1638.0
[2015:12:07-21:48:17] cmd: 1, targetTemp: 95.0, temp: 95.2, elapsed time: 0m 1s, line Time: 4s, protocol Time: 34s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1722.0
[2015:12:07-21:48:18] cmd: 1, targetTemp: 95.0, temp: 94.7, elapsed time: 0m 2s, line Time: 3s, protocol Time: 33s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1626.0
[2015:12:07-21:48:19] cmd: 1, targetTemp: 95.0, temp: 94.4, elapsed time: 0m 3s, line Time: 2s, protocol Time: 32s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1732.0
[2015:12:07-21:48:20] cmd: 1, targetTemp: 95.0, temp: 95.0, elapsed time: 0m 4s, line Time: 1s, protocol Time: 31s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1492.0
[2015:12:07-21:48:21] cmd: 1, targetTemp: 95.0, temp: 94.7, elapsed time: 0m 5s, line Time: 0s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1708.0
[2015:12:07-21:48:22] cmd: 1, targetTemp: 60.0, temp: 94.5, elapsed time: 0m 6s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1676.0
[2015:12:07-21:48:23] cmd: 1, targetTemp: 60.0, temp: 87.9, elapsed time: 0m 7s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1466.0
[2015:12:07-21:48:24] cmd: 1, targetTemp: 60.0, temp: 77.8, elapsed time: 0m 8s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1498.0
[2015:12:07-21:48:25] cmd: 1, targetTemp: 60.0, temp: 70.3, elapsed time: 0m 9s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1661.0
[2015:12:07-21:48:26] cmd: 1, targetTemp: 60.0, temp: 64.9, elapsed time: 0m 10s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1832.0
[2015:12:07-21:48:27] cmd: 1, targetTemp: 60.0, temp: 60.6, elapsed time: 0m 11s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1760.0
[2015:12:07-21:48:28] cmd: 1, targetTemp: 60.0, temp: 56.9, elapsed time: 0m 12s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 17, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1718.0
[2015:12:07-21:48:29] cmd: 1, targetTemp: 60.0, temp: 56.3, elapsed time: 0m 13s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 37, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1818.0
[2015:12:07-21:48:30] cmd: 1, targetTemp: 60.0, temp: 57.4, elapsed time: 0m 14s, line Time: 5s, protocol Time: 30s, device TargetArr: 1, mfc TargetArr: 0, free Running: 1, free Running Counter: 57, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1582.0
[2015:12:07-21:48:31] cmd: 1, targetTemp: 60.0, temp: 65.4, elapsed time: 0m 15s, line Time: 4s, protocol Time: 29s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1760.0
[2015:12:07-21:48:32] cmd: 1, targetTemp: 60.0, temp: 64.9, elapsed time: 0m 16s, line Time: 3s, protocol Time: 28s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1828.0
[2015:12:07-21:48:33] cmd: 1, targetTemp: 60.0, temp: 63.5, elapsed time: 0m 17s, line Time: 2s, protocol Time: 27s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1698.0
[2015:12:07-21:48:34] cmd: 1, targetTemp: 60.0, temp: 61.8, elapsed time: 0m 18s, line Time: 1s, protocol Time: 26s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1799.0
[2015:12:07-21:48:35] cmd: 1, targetTemp: 60.0, temp: 58.3, elapsed time: 0m 19s, line Time: 0s, protocol Time: 25s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1821.0
[2015:12:07-21:48:36] cmd: 1, targetTemp: 72.0, temp: 61.3, elapsed time: 0m 20s, line Time: 5s, protocol Time: 25s, device TargetArr: 1, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1910.0
[2015:12:07-21:48:37] cmd: 1, targetTemp: 72.0, temp: 72.9, elapsed time: 0m 21s, line Time: 4s, protocol Time: 24s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1853.0
[2015:12:07-21:48:38] cmd: 1, targetTemp: 72.0, temp: 78.1, elapsed time: 0m 22s, line Time: 3s, protocol Time: 23s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1863.0
[2015:12:07-21:48:39] cmd: 1, targetTemp: 72.0, temp: 75.9, elapsed time: 0m 23s, line Time: 2s, protocol Time: 22s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1774.0
[2015:12:07-21:48:40] cmd: 1, targetTemp: 72.0, temp: 72.9, elapsed time: 0m 24s, line Time: 1s, protocol Time: 21s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 4080.0
[2015:12:07-21:48:41] cmd: 1, targetTemp: 72.0, temp: 71.5, elapsed time: 0m 25s, line Time: 0s, protocol Time: 20s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 3926.0
