[2015:12:07-22:33:25] cmd: 1, targetTemp: 60.0, temp: 62.3, elapsed time: 0m 20s, line Time: 2s, protocol Time: 27s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1455.0
[2015:12:07-22:33:26] cmd: 1, targetTemp: 60.0, temp: 61.2, elapsed time: 0m 21s, line Time: 1s, protocol Time: 26s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1260.0
[2015:12:07-22:33:27] cmd: 1, targetTemp: 60.0, temp: 60.8, elapsed time: 0m 22s, line Time: 0s, protocol Time: 25s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1137.0
[2015:12:07-22:33:28] cmd: 1, targetTemp: 72.0, temp: 60.2, elapsed time: 0m 23s, line Time: 5s, protocol Time: 25s, device TargetArr: 1, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1711.0
[2015:12:07-22:33:29] cmd: 1, targetTemp: 72.0, temp: 68.8, elapsed time: 0m 24s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1878.0
[2015:12:07-22:33:30] cmd: 1, targetTemp: 72.0, temp: 77.9, elapsed time: 0m 25s, line Time: 4s, protocol Time: 24s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1832.0
[2015:12:07-22:33:31] cmd: 1, targetTemp: 72.0, temp: 75.1, elapsed time: 0m 26s, line Time: 3s, protocol Time: 23s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 2046.0
[2015:12:07-22:33:32] cmd: 1, targetTemp: 72.0, temp: 72.5, elapsed time: 0m 27s, line Time: 2s, protocol Time: 22s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1860.0
[2015:12:07-22:33:33] cmd: 1, targetTemp: 72.0, temp: 72.5, elapsed time: 0m 28s, line Time: 1s, protocol Time: 21s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 4052.0
[2015:12:07-22:33:34] cmd: 1, targetTemp: 72.0, temp: 71.7, elapsed time: 0m 29s, line Time: 0s, protocol Time: 20s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 3968.0
[2015:12:07-22:33:35] cmd: 1, targetTemp: 95.0, temp: 71.8, elapsed time: 0m 30s, line Time: 5s, protocol Time: 20s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1530.0
[2015:12:07-22:33:36] cmd: 1, targetTemp: 95.0, temp: 80.3, elapsed time: 0m 31s, line Time: 5s, protocol Time: 20s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1691.0
[2015:12:07-22:33:37] cmd: 1, targetTemp: 95.0, temp: 97.4, elapsed time: 0m 32s, line Time: 4s, protocol Time: 19s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1458.0
[2015:12:07-22:33:38] cmd: 1, targetTemp: 95.0, temp: 98.1, elapsed time: 0m 33s, line Time: 3s, protocol Time: 18s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1263.0
[2015:12:07-22:33:39] cmd: 1, targetTemp: 95.0, temp: 94.4, elapsed time: 0m 34s, line Time: 2s, protocol Time: 17s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1402.0
[2015:12:07-22:33:40] cmd: 1, targetTemp: 95.0, temp: 95.6, elapsed time: 0m 35s, line Time: 1s, protocol Time: 16s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1180.0
[2015:12:07-22:33:41] cmd: 1, targetTemp: 95.0, temp: 95.0, elapsed time: 0m 36s, line Time: 0s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1531.0
[2015:12:07-22:33:42] cmd: 1, targetTemp: 95.0, temp: 95.2, elapsed time: 0m 37s, line Time: 0s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1773.0
[2015:12:07-22:33:43] cmd: 1, targetTemp: 60.0, temp: 94.9, elapsed time: 0m 38s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1771.0
