[2015:12:07-21:33:04] cmd: 1, targetTemp: 0.0, temp: 34.6, elapsed time: 0m 0s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1037.0
[2015:12:07-21:33:05] cmd: 1, targetTemp: 0.0, temp: 34.7, elapsed time: 0m 1s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1152.0
[2015:12:07-21:33:06] cmd: 1, targetTemp: 0.0, temp: 34.7, elapsed time: 0m 2s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1146.0
[2015:12:07-21:33:07] cmd: 1, targetTemp: 0.0, temp: 35.0, elapsed time: 0m 3s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1046.0
[2015:12:07-21:33:08] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 4s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 916.0
[2015:12:07-21:33:09] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 5s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 839.0
[2015:12:07-21:33:10] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 6s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 738.0
[2015:12:07-21:33:11] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 7s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1039.0
[2015:12:07-21:33:12] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 8s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 906.0
[2015:12:07-21:33:13] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 9s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 940.0
[2015:12:07-21:33:14] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 10s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 876.0
[2015:12:07-21:33:15] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 11s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 929.0
[2015:12:07-21:33:16] cmd: 1, targetTemp: 0.0, temp: 35.3, elapsed time: 0m 12s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 954.0
[2015:12:07-21:33:17] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 13s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 821.0
[2015:12:07-21:33:18] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 14s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 926.0
[2015:12:07-21:33:19] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 15s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 169.0
[2015:12:07-21:33:20] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 16s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 183.0
[2015:12:07-21:33:21] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 17s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 401.0
[2015:12:07-21:33:22] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 18s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 323.0
[2015:12:07-21:33:23] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 19s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 48.0
[2015:12:07-21:33:24] cmd: 1, targetTemp: 0.0, temp: 35.2, elapsed time: 0m 20s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:25] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 21s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:26] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 22s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:27] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 23s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 2.0
[2015:12:07-21:33:28] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 24s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:29] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 25s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1.0
[2015:12:07-21:33:30] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 26s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:31] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 27s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1.0
[2015:12:07-21:33:32] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 28s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1.0
[2015:12:07-21:33:33] cmd: 1, targetTemp: 0.0, temp: 35.7, elapsed time: 0m 29s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 710.0
[2015:12:07-21:33:34] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 30s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-21:33:35] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 31s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 27.0
[2015:12:07-21:33:36] cmd: 1, targetTemp: 0.0, temp: 35.5, elapsed time: 0m 32s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1499.0
