[2015:12:07-22:36:18] cmd: 1, targetTemp: 95.0, temp: 64.3, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:19] cmd: 1, targetTemp: 95.0, temp: 82.0, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:20] cmd: 1, targetTemp: 95.0, temp: 98.4, elapsed time: 0m 2s, line Time: 4s, protocol Time: 34s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:21] cmd: 1, targetTemp: 95.0, temp: 98.1, elapsed time: 0m 3s, line Time: 3s, protocol Time: 33s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:22] cmd: 1, targetTemp: 95.0, temp: 94.4, elapsed time: 0m 4s, line Time: 2s, protocol Time: 32s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:23] cmd: 1, targetTemp: 95.0, temp: 95.5, elapsed time: 0m 5s, line Time: 1s, protocol Time: 31s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:24] cmd: 1, targetTemp: 95.0, temp: 94.9, elapsed time: 0m 6s, line Time: 0s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:25] cmd: 1, targetTemp: 60.0, temp: 95.2, elapsed time: 0m 7s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:26] cmd: 1, targetTemp: 60.0, temp: 87.8, elapsed time: 0m 8s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:27] cmd: 1, targetTemp: 60.0, temp: 79.4, elapsed time: 0m 9s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:28] cmd: 1, targetTemp: 60.0, temp: 73.7, elapsed time: 0m 10s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:29] cmd: 1, targetTemp: 60.0, temp: 68.3, elapsed time: 0m 11s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:30] cmd: 1, targetTemp: 60.0, temp: 66.5, elapsed time: 0m 12s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:31] cmd: 1, targetTemp: 60.0, temp: 64.6, elapsed time: 0m 13s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:32] cmd: 1, targetTemp: 60.0, temp: 63.7, elapsed time: 0m 14s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:33] cmd: 1, targetTemp: 60.0, temp: 62.8, elapsed time: 0m 15s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:34] cmd: 1, targetTemp: 60.0, temp: 62.3, elapsed time: 0m 16s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:35] cmd: 1, targetTemp: 60.0, temp: 61.9, elapsed time: 0m 17s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:36] cmd: 1, targetTemp: 60.0, temp: 61.2, elapsed time: 0m 18s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:37] cmd: 1, targetTemp: 60.0, temp: 60.9, elapsed time: 0m 19s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:38] cmd: 1, targetTemp: 60.0, temp: 60.9, elapsed time: 0m 20s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:39] cmd: 1, targetTemp: 60.0, temp: 60.7, elapsed time: 0m 21s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:40] cmd: 1, targetTemp: 60.0, temp: 60.5, elapsed time: 0m 22s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:41] cmd: 1, targetTemp: 60.0, temp: 60.5, elapsed time: 0m 23s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:42] cmd: 1, targetTemp: 60.0, temp: 60.5, elapsed time: 0m 24s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:43] cmd: 1, targetTemp: 60.0, temp: 60.1, elapsed time: 0m 25s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 12, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:44] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 26s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 32, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:45] cmd: 1, targetTemp: 60.0, temp: 59.7, elapsed time: 0m 27s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 52, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 0.0
[2015:12:07-22:36:46] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 28s, line Time: 4s, protocol Time: 29s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:47] cmd: 1, targetTemp: 60.0, temp: 59.6, elapsed time: 0m 29s, line Time: 3s, protocol Time: 28s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:48] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 30s, line Time: 2s, protocol Time: 27s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:49] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 31s, line Time: 1s, protocol Time: 26s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:50] cmd: 1, targetTemp: 60.0, temp: 59.8, elapsed time: 0m 32s, line Time: 0s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:51] cmd: 1, targetTemp: 72.0, temp: 59.7, elapsed time: 0m 33s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:52] cmd: 1, targetTemp: 72.0, temp: 67.3, elapsed time: 0m 34s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:53] cmd: 1, targetTemp: 72.0, temp: 77.7, elapsed time: 0m 35s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:54] cmd: 1, targetTemp: 72.0, temp: 76.3, elapsed time: 0m 36s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:36:55] cmd: 1, targetTemp: 72.0, temp: 74.1, elapsed time: 0m 37s, line Time: 5s, protocol Time: 25s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
